All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 15:37:57
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.134	    -0.021	     0.060	     0.148
  0.006640	     0.126	     0.007	     0.075	     0.147
  0.009960	     0.110	     0.001	     0.062	     0.126
  0.013280	     0.152	    -0.005	     0.064	     0.165
  0.016600	     0.146	    -0.033	     0.068	     0.164
  0.019920	     0.142	    -0.020	     0.073	     0.161
  0.023240	     0.166	    -0.001	     0.046	     0.172
  0.026560	     0.138	     0.022	     0.044	     0.147
  0.029880	     0.131	     0.004	     0.045	     0.139
  0.033200	     0.128	     0.002	     0.080	     0.151
  0.036520	     0.136	    -0.023	     0.072	     0.156
  0.039840	     0.140	    -0.015	     0.046	     0.148
  0.043160	     0.151	    -0.002	     0.054	     0.160
  0.046480	     0.141	    -0.017	     0.056	     0.153
  0.049800	     0.135	    -0.038	     0.067	     0.155
  0.053120	     0.124	     0.001	     0.077	     0.146
  0.056440	     0.113	    -0.011	     0.087	     0.143
  0.059760	     0.138	    -0.018	     0.055	     0.150
  0.063080	     0.134	     0.003	     0.069	     0.151
  0.066400	     0.133	    -0.027	     0.058	     0.148
  0.069720	     0.141	     0.003	     0.053	     0.151
  0.073040	     0.119	    -0.010	     0.071	     0.139
  0.076360	     0.129	    -0.011	     0.072	     0.148
  0.079680	     0.116	    -0.010	     0.055	     0.129
  0.083000	     0.122	    -0.020	     0.046	     0.132
  0.086320	     0.150	    -0.012	     0.071	     0.166
  0.089640	     0.123	    -0.001	     0.064	     0.139
  0.092960	     0.122	    -0.004	     0.071	     0.141
  0.096280	     0.122	    -0.018	     0.078	     0.146
  0.099600	     0.130	    -0.023	     0.038	     0.137
  0.102920	     0.122	    -0.012	     0.056	     0.135
  0.106240	     0.117	    -0.012	     0.072	     0.138
  0.109560	     0.123	    -0.014	     0.068	     0.141
  0.112880	     0.138	    -0.012	     0.053	     0.148
  0.116200	     0.144	    -0.035	     0.055	     0.158
  0.119520	     0.142	    -0.010	     0.072	     0.160
  0.122840	     0.131	    -0.018	     0.062	     0.146
  0.126160	     0.157	    -0.019	     0.061	     0.170
  0.129480	     0.137	    -0.021	     0.063	     0.152
  0.132800	     0.158	    -0.007	     0.047	     0.165
  0.136120	     0.157	    -0.011	     0.083	     0.178
  0.139440	     0.167	    -0.008	     0.063	     0.179
  0.142760	     0.152	     0.001	     0.065	     0.165
  0.146080	     0.131	    -0.006	     0.054	     0.142
  0.149400	     0.117	     0.008	     0.081	     0.143
  0.152720	     0.137	    -0.012	     0.052	     0.147
  0.156040	     0.131	    -0.012	     0.063	     0.146
  0.159360	     0.115	    -0.014	     0.091	     0.147
  0.162680	     0.103	     0.008	     0.067	     0.123
  0.166000	     0.126	    -0.012	     0.057	     0.139
  0.169320	     0.148	    -0.007	     0.086	     0.171
  0.172640	     0.134	    -0.026	     0.057	     0.148
  0.175960	     0.103	     0.009	     0.066	     0.123
  0.179280	     0.115	    -0.013	     0.069	     0.135
  0.182600	     0.133	    -0.018	     0.067	     0.150
  0.185920	     0.117	    -0.040	     0.084	     0.149
  0.189240	     0.124	     0.010	     0.062	     0.139
  0.192560	     0.123	    -0.045	     0.080	     0.153
  0.195880	     0.127	    -0.045	     0.050	     0.144
  0.199200	     0.107	    -0.024	     0.048	     0.120
  0.202520	     0.120	    -0.032	     0.074	     0.145
  0.205840	     0.140	    -0.017	     0.063	     0.154
  0.209160	     0.146	    -0.015	     0.069	     0.162
  0.212480	     0.130	    -0.001	     0.050	     0.139
  0.215800	     0.108	    -0.014	     0.080	     0.135
  0.219120	     0.136	     0.006	     0.082	     0.159
  0.222440	     0.120	    -0.028	     0.063	     0.138
  0.225760	     0.121	    -0.007	     0.059	     0.135
  0.229080	     0.113	    -0.008	     0.070	     0.133
  0.232400	     0.126	    -0.012	     0.075	     0.147
  0.235720	     0.118	    -0.002	     0.045	     0.126
  0.239040	     0.146	    -0.034	     0.071	     0.166
  0.242360	     0.140	    -0.003	     0.057	     0.151
  0.245680	     0.146	    -0.024	     0.044	     0.154
  0.249000	     0.132	    -0.015	     0.071	     0.151
  0.252320	     0.127	    -0.007	     0.067	     0.144
  0.255640	     0.116	    -0.019	     0.057	     0.131
  0.258960	     0.125	    -0.018	     0.062	     0.141
  0.262280	     0.131	    -0.021	     0.058	     0.145
  0.265600	     0.158	    -0.010	     0.080	     0.177
  0.268920	     0.142	    -0.029	     0.061	     0.157
  0.272240	     0.145	    -0.016	     0.090	     0.171
  0.275560	     0.134	    -0.003	     0.070	     0.151
  0.278880	     0.138	    -0.002	     0.067	     0.153
  0.282200	     0.133	     0.004	     0.069	     0.150
  0.285520	     0.157	    -0.008	     0.052	     0.166
  0.288840	     0.136	    -0.020	     0.077	     0.158
  0.292160	     0.120	    -0.021	     0.048	     0.131
  0.295480	     0.148	    -0.012	     0.065	     0.162
  0.298800	     0.165	    -0.007	     0.068	     0.179
  0.302120	     0.125	    -0.020	     0.052	     0.137
  0.305440	     0.152	    -0.014	     0.050	     0.161
  0.308760	     0.169	    -0.015	     0.065	     0.182
  0.312080	     0.149	    -0.013	     0.070	     0.165
  0.315400	     0.149	    -0.016	     0.055	     0.160
  0.318720	     0.134	     0.002	     0.072	     0.152
  0.322040	     0.105	    -0.018	     0.045	     0.116
  0.325360	     0.160	    -0.065	     0.065	     0.185
  0.328680	     0.110	    -0.029	     0.065	     0.131
  0.332000	     0.137	    -0.012	     0.066	     0.153
  0.335320	     0.124	    -0.016	     0.093	     0.156
  0.338640	     0.119	    -0.005	     0.080	     0.143
  0.341960	     0.145	     0.011	     0.093	     0.173
  0.345280	     0.123	    -0.008	     0.085	     0.150
  0.348600	     0.126	    -0.017	     0.092	     0.157
  0.351920	     0.145	     0.010	     0.080	     0.166
  0.355240	     0.117	     0.029	     0.073	     0.141
  0.358560	     0.099	    -0.027	     0.062	     0.120
  0.361880	     0.136	    -0.012	     0.071	     0.154
  0.365200	     0.111	    -0.006	     0.078	     0.136
  0.368520	     0.150	     0.001	     0.053	     0.159
  0.371840	     0.145	    -0.013	     0.062	     0.158
