All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:26:30
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.144	    -0.019	     0.040	     0.151
  0.006640	     0.124	    -0.009	     0.056	     0.136
  0.009960	     0.120	     0.012	     0.046	     0.129
  0.013280	     0.140	    -0.041	     0.055	     0.156
  0.016600	     0.144	     0.005	     0.077	     0.163
  0.019920	     0.128	    -0.023	     0.032	     0.134
  0.023240	     0.145	    -0.024	     0.047	     0.154
  0.026560	     0.142	    -0.011	     0.077	     0.162
  0.029880	     0.141	    -0.003	     0.074	     0.159
  0.033200	     0.144	     0.029	     0.081	     0.168
  0.036520	     0.137	    -0.006	     0.053	     0.147
  0.039840	     0.134	    -0.009	     0.077	     0.155
  0.043160	     0.133	    -0.018	     0.039	     0.140
  0.046480	     0.122	     0.015	     0.055	     0.135
  0.049800	     0.142	    -0.019	     0.063	     0.157
  0.053120	     0.111	    -0.010	     0.052	     0.123
  0.056440	     0.116	    -0.007	     0.065	     0.133
  0.059760	     0.135	     0.010	     0.053	     0.145
  0.063080	     0.129	    -0.023	     0.041	     0.137
  0.066400	     0.113	    -0.017	     0.048	     0.124
  0.069720	     0.131	     0.010	     0.043	     0.138
  0.073040	     0.125	     0.019	     0.057	     0.139
  0.076360	     0.134	     0.015	     0.091	     0.163
  0.079680	     0.131	     0.008	     0.043	     0.138
  0.083000	     0.127	    -0.015	     0.073	     0.147
  0.086320	     0.138	    -0.008	     0.056	     0.149
  0.089640	     0.128	    -0.015	     0.049	     0.138
  0.092960	     0.148	     0.001	     0.047	     0.155
  0.096280	     0.130	    -0.014	     0.043	     0.138
  0.099600	     0.141	    -0.021	     0.046	     0.150
  0.102920	     0.138	    -0.025	     0.059	     0.152
  0.106240	     0.144	     0.001	     0.053	     0.153
  0.109560	     0.148	    -0.007	     0.053	     0.157
  0.112880	     0.151	    -0.018	     0.042	     0.158
  0.116200	     0.138	    -0.012	     0.044	     0.145
  0.119520	     0.158	    -0.018	     0.045	     0.165
  0.122840	     0.124	    -0.013	     0.055	     0.136
  0.126160	     0.107	    -0.001	     0.037	     0.113
  0.129480	     0.131	    -0.013	     0.038	     0.137
  0.132800	     0.143	    -0.009	     0.056	     0.154
  0.136120	     0.144	    -0.018	     0.043	     0.151
  0.139440	     0.123	    -0.002	     0.068	     0.141
  0.142760	     0.129	     0.006	     0.054	     0.140
  0.146080	     0.130	    -0.029	     0.061	     0.146
  0.149400	     0.149	     0.003	     0.090	     0.174
  0.152720	     0.141	    -0.018	     0.075	     0.161
  0.156040	     0.142	    -0.002	     0.074	     0.160
  0.159360	     0.147	     0.008	     0.051	     0.156
  0.162680	     0.132	    -0.019	     0.047	     0.141
  0.166000	     0.152	     0.020	     0.050	     0.161
  0.169320	     0.158	    -0.006	     0.069	     0.173
  0.172640	     0.116	     0.008	     0.056	     0.129
  0.175960	     0.126	    -0.018	     0.063	     0.142
  0.179280	     0.147	    -0.006	     0.062	     0.160
  0.182600	     0.140	     0.003	     0.071	     0.157
  0.185920	     0.135	     0.003	     0.037	     0.140
  0.189240	     0.157	    -0.009	     0.069	     0.172
  0.192560	     0.138	    -0.018	     0.080	     0.161
  0.195880	     0.109	    -0.021	     0.041	     0.118
  0.199200	     0.138	    -0.015	     0.074	     0.157
  0.202520	     0.119	    -0.026	     0.047	     0.131
  0.205840	     0.137	    -0.015	     0.068	     0.154
  0.209160	     0.138	    -0.021	     0.056	     0.150
  0.212480	     0.123	    -0.012	     0.068	     0.141
  0.215800	     0.118	     0.001	     0.066	     0.135
  0.219120	     0.119	    -0.007	     0.053	     0.130
  0.222440	     0.134	    -0.007	     0.056	     0.145
  0.225760	     0.138	    -0.010	     0.048	     0.146
  0.229080	     0.148	    -0.004	     0.041	     0.154
  0.232400	     0.149	     0.001	     0.058	     0.160
  0.235720	     0.139	    -0.003	     0.059	     0.151
  0.239040	     0.137	    -0.014	     0.041	     0.144
  0.242360	     0.114	     0.003	     0.071	     0.134
  0.245680	     0.110	    -0.008	     0.060	     0.126
  0.249000	     0.155	    -0.011	     0.044	     0.161
  0.252320	     0.125	    -0.026	     0.062	     0.142
  0.255640	     0.165	    -0.024	     0.065	     0.179
  0.258960	     0.174	    -0.033	     0.061	     0.187
  0.262280	     0.134	    -0.017	     0.055	     0.146
  0.265600	     0.126	     0.002	     0.077	     0.148
  0.268920	     0.146	     0.012	     0.061	     0.159
  0.272240	     0.138	    -0.019	     0.068	     0.155
  0.275560	     0.151	    -0.017	     0.052	     0.161
  0.278880	     0.151	     0.002	     0.049	     0.159
  0.282200	     0.126	    -0.006	     0.062	     0.141
  0.285520	     0.126	    -0.018	     0.055	     0.139
  0.288840	     0.127	     0.003	     0.058	     0.140
  0.292160	     0.133	    -0.014	     0.056	     0.145
  0.295480	     0.156	    -0.018	     0.067	     0.171
  0.298800	     0.134	     0.000	     0.071	     0.152
  0.302120	     0.140	     0.010	     0.037	     0.145
  0.305440	     0.153	    -0.003	     0.064	     0.166
  0.308760	     0.169	    -0.020	     0.066	     0.183
  0.312080	     0.121	    -0.016	     0.052	     0.133
  0.315400	     0.157	    -0.001	     0.082	     0.177
  0.318720	     0.139	    -0.006	     0.077	     0.159
  0.322040	     0.149	     0.001	     0.065	     0.163
  0.325360	     0.140	    -0.021	     0.077	     0.161
  0.328680	     0.129	    -0.007	     0.074	     0.149
  0.332000	     0.154	     0.000	     0.068	     0.168
  0.335320	     0.121	     0.019	     0.072	     0.142
  0.338640	     0.135	    -0.013	     0.060	     0.148
  0.341960	     0.109	     0.003	     0.040	     0.116
  0.345280	     0.137	    -0.017	     0.062	     0.151
  0.348600	     0.121	     0.003	     0.080	     0.145
  0.351920	     0.147	    -0.008	     0.085	     0.170
  0.355240	     0.135	    -0.017	     0.044	     0.143
  0.358560	     0.133	    -0.027	     0.073	     0.154
  0.361880	     0.115	    -0.002	     0.058	     0.129
  0.365200	     0.151	    -0.017	     0.035	     0.156
  0.368520	     0.153	    -0.009	     0.065	     0.166
  0.371840	     0.134	    -0.012	     0.053	     0.145
  0.375160	     0.152	    -0.001	     0.070	     0.167
  0.378480	     0.152	    -0.015	     0.055	     0.162
  0.381800	     0.125	     0.023	     0.074	     0.147
  0.385120	     0.138	    -0.027	     0.059	     0.152
  0.388440	     0.139	    -0.004	     0.096	     0.169
  0.391760	     0.113	    -0.026	     0.086	     0.144
  0.395080	     0.130	    -0.010	     0.088	     0.157
  0.398400	     0.140	     0.003	     0.068	     0.156
  0.401720	     0.133	     0.000	     0.039	     0.139
  0.405040	     0.132	    -0.026	     0.062	     0.148
  0.408360	     0.131	    -0.017	     0.071	     0.150
  0.411680	     0.140	    -0.016	     0.077	     0.161
  0.415000	     0.134	     0.001	     0.044	     0.141
  0.418320	     0.159	    -0.024	     0.083	     0.181
