All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:0:42
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.146	    -0.029	    -0.248	     0.289
  0.006640	     0.162	    -0.029	    -0.273	     0.319
  0.009960	     0.157	    -0.015	    -0.257	     0.302
  0.013280	     0.152	    -0.030	    -0.249	     0.293
  0.016600	     0.150	    -0.026	    -0.263	     0.304
  0.019920	     0.126	    -0.048	    -0.246	     0.281
  0.023240	     0.148	    -0.014	    -0.232	     0.276
  0.026560	     0.153	    -0.022	    -0.271	     0.312
  0.029880	     0.151	    -0.019	    -0.248	     0.291
  0.033200	     0.145	    -0.028	    -0.253	     0.293
  0.036520	     0.131	    -0.023	    -0.235	     0.270
  0.039840	     0.154	    -0.043	    -0.266	     0.310
  0.043160	     0.151	     0.003	    -0.265	     0.305
  0.046480	     0.148	    -0.020	    -0.248	     0.289
  0.049800	     0.143	    -0.041	    -0.269	     0.307
  0.053120	     0.169	    -0.019	    -0.263	     0.313
  0.056440	     0.135	    -0.010	    -0.250	     0.284
  0.059760	     0.170	    -0.029	    -0.223	     0.282
  0.063080	     0.152	    -0.026	    -0.253	     0.296
  0.066400	     0.153	    -0.037	    -0.257	     0.301
  0.069720	     0.144	    -0.045	    -0.228	     0.273
  0.073040	     0.141	    -0.016	    -0.249	     0.287
  0.076360	     0.174	    -0.023	    -0.261	     0.315
  0.079680	     0.150	    -0.040	    -0.277	     0.318
  0.083000	     0.154	    -0.020	    -0.250	     0.294
  0.086320	     0.164	    -0.048	    -0.264	     0.314
  0.089640	     0.162	    -0.030	    -0.262	     0.309
  0.092960	     0.147	    -0.043	    -0.248	     0.291
  0.096280	     0.176	    -0.023	    -0.268	     0.321
  0.099600	     0.166	    -0.026	    -0.268	     0.316
  0.102920	     0.149	    -0.033	    -0.246	     0.289
  0.106240	     0.160	    -0.048	    -0.286	     0.331
  0.109560	     0.191	    -0.023	    -0.254	     0.319
  0.112880	     0.155	    -0.048	    -0.256	     0.303
  0.116200	     0.127	    -0.038	    -0.233	     0.268
  0.119520	     0.149	    -0.049	    -0.211	     0.263
  0.122840	     0.158	    -0.010	    -0.251	     0.297
  0.126160	     0.171	    -0.023	    -0.254	     0.307
  0.129480	     0.138	    -0.021	    -0.249	     0.285
  0.132800	     0.155	    -0.019	    -0.266	     0.308
  0.136120	     0.140	    -0.035	    -0.254	     0.292
  0.139440	     0.141	    -0.029	    -0.241	     0.281
  0.142760	     0.158	    -0.034	    -0.221	     0.274
  0.146080	     0.162	    -0.042	    -0.271	     0.319
  0.149400	     0.129	    -0.029	    -0.257	     0.289
  0.152720	     0.151	    -0.050	    -0.272	     0.315
  0.156040	     0.158	    -0.022	    -0.293	     0.334
  0.159360	     0.155	    -0.049	    -0.246	     0.295
  0.162680	     0.147	    -0.045	    -0.259	     0.301
  0.166000	     0.124	    -0.032	    -0.256	     0.286
  0.169320	     0.166	    -0.049	    -0.236	     0.293
  0.172640	     0.145	    -0.018	    -0.263	     0.301
  0.175960	     0.147	    -0.038	    -0.249	     0.292
  0.179280	     0.150	    -0.018	    -0.254	     0.296
  0.182600	     0.137	    -0.051	    -0.255	     0.294
  0.185920	     0.157	    -0.013	    -0.259	     0.303
  0.189240	     0.135	    -0.048	    -0.257	     0.294
  0.192560	     0.149	    -0.024	    -0.236	     0.280
  0.195880	     0.133	    -0.011	    -0.254	     0.287
  0.199200	     0.133	    -0.048	    -0.278	     0.312
  0.202520	     0.154	    -0.023	    -0.269	     0.311
  0.205840	     0.135	    -0.013	    -0.270	     0.302
  0.209160	     0.148	    -0.021	    -0.270	     0.309
  0.212480	     0.144	    -0.044	    -0.261	     0.301
  0.215800	     0.131	     0.005	    -0.279	     0.308
  0.219120	     0.128	    -0.048	    -0.271	     0.304
  0.222440	     0.127	    -0.040	    -0.270	     0.301
  0.225760	     0.131	    -0.006	    -0.269	     0.299
  0.229080	     0.160	    -0.049	    -0.286	     0.331
  0.232400	     0.169	    -0.023	    -0.266	     0.316
  0.235720	     0.124	    -0.028	    -0.248	     0.279
  0.239040	     0.148	    -0.047	    -0.266	     0.308
  0.242360	     0.150	    -0.019	    -0.239	     0.283
  0.245680	     0.144	    -0.021	    -0.256	     0.294
  0.249000	     0.178	    -0.018	    -0.278	     0.331
  0.252320	     0.141	    -0.026	    -0.259	     0.296
  0.255640	     0.140	    -0.034	    -0.262	     0.299
  0.258960	     0.130	    -0.032	    -0.277	     0.308
  0.262280	     0.150	    -0.034	    -0.271	     0.312
  0.265600	     0.148	    -0.025	    -0.269	     0.308
  0.268920	     0.132	    -0.024	    -0.261	     0.293
  0.272240	     0.146	    -0.033	    -0.259	     0.299
  0.275560	     0.135	    -0.015	    -0.267	     0.300
  0.278880	     0.136	    -0.014	    -0.301	     0.331
  0.282200	     0.146	    -0.007	    -0.261	     0.299
  0.285520	     0.114	    -0.021	    -0.249	     0.275
  0.288840	     0.144	    -0.009	    -0.266	     0.303
  0.292160	     0.141	    -0.007	    -0.277	     0.311
  0.295480	     0.133	    -0.001	    -0.259	     0.291
  0.298800	     0.153	    -0.004	    -0.295	     0.332
  0.302120	     0.137	    -0.037	    -0.268	     0.303
  0.305440	     0.144	    -0.037	    -0.266	     0.305
  0.308760	     0.153	    -0.041	    -0.248	     0.294
  0.312080	     0.133	     0.014	    -0.263	     0.295
  0.315400	     0.128	    -0.020	    -0.266	     0.296
  0.318720	     0.134	    -0.024	    -0.277	     0.309
  0.322040	     0.148	    -0.035	    -0.248	     0.291
  0.325360	     0.112	    -0.045	    -0.262	     0.288
  0.328680	     0.141	    -0.012	    -0.265	     0.300
  0.332000	     0.133	    -0.020	    -0.279	     0.310
  0.335320	     0.156	    -0.033	    -0.254	     0.300
  0.338640	     0.126	    -0.045	    -0.284	     0.314
  0.341960	     0.158	    -0.028	    -0.275	     0.318
  0.345280	     0.131	    -0.014	    -0.283	     0.312
  0.348600	     0.138	    -0.010	    -0.260	     0.295
  0.351920	     0.150	    -0.021	    -0.238	     0.282
  0.355240	     0.159	     0.005	    -0.255	     0.301
  0.358560	     0.123	    -0.017	    -0.252	     0.281
  0.361880	     0.145	    -0.023	    -0.273	     0.310
  0.365200	     0.148	    -0.038	    -0.261	     0.302
  0.368520	     0.169	    -0.041	    -0.271	     0.322
  0.371840	     0.156	    -0.045	    -0.246	     0.295
  0.375160	     0.149	    -0.028	    -0.265	     0.305
  0.378480	     0.156	    -0.022	    -0.267	     0.310
  0.381800	     0.146	    -0.023	    -0.254	     0.294
  0.385120	     0.128	    -0.034	    -0.286	     0.315
  0.388440	     0.172	    -0.006	    -0.276	     0.325
  0.391760	     0.131	    -0.007	    -0.247	     0.280
  0.395080	     0.125	    -0.054	    -0.244	     0.279
  0.398400	     0.139	    -0.043	    -0.234	     0.276
  0.401720	     0.134	    -0.032	    -0.269	     0.302
  0.405040	     0.160	    -0.020	    -0.289	     0.331
  0.408360	     0.160	    -0.041	    -0.283	     0.328
  0.411680	     0.136	    -0.026	    -0.271	     0.304
  0.415000	     0.146	    -0.031	    -0.273	     0.311
  0.418320	     0.157	    -0.045	    -0.274	     0.319
  0.421640	     0.140	    -0.031	    -0.246	     0.285
  0.424960	     0.122	    -0.040	    -0.281	     0.309
  0.428280	     0.164	    -0.037	    -0.273	     0.321
  0.431600	     0.140	    -0.022	    -0.259	     0.295
  0.434920	     0.141	    -0.020	    -0.286	     0.319
  0.438240	     0.140	    -0.030	    -0.264	     0.300
  0.441560	     0.157	    -0.052	    -0.263	     0.311
  0.444880	     0.156	    -0.031	    -0.268	     0.312
  0.448200	     0.139	    -0.050	    -0.264	     0.303
  0.451520	     0.159	    -0.014	    -0.262	     0.307
  0.454840	     0.145	    -0.038	    -0.250	     0.291
  0.458160	     0.142	    -0.016	    -0.266	     0.302
  0.461480	     0.131	    -0.011	    -0.280	     0.309
  0.464800	     0.144	    -0.022	    -0.279	     0.315
  0.468120	     0.137	    -0.029	    -0.244	     0.281
  0.471440	     0.159	    -0.020	    -0.265	     0.310
  0.474760	     0.160	    -0.044	    -0.271	     0.318
  0.478080	     0.117	    -0.041	    -0.255	     0.284
  0.481400	     0.166	    -0.007	    -0.282	     0.327
  0.484720	     0.141	    -0.017	    -0.249	     0.287
  0.488040	     0.142	    -0.029	    -0.269	     0.306
  0.491360	     0.144	    -0.002	    -0.264	     0.301
  0.494680	     0.126	    -0.037	    -0.246	     0.279
  0.498000	     0.148	    -0.038	    -0.274	     0.314
  0.501320	     0.171	    -0.029	    -0.298	     0.345
  0.504640	     0.137	    -0.015	    -0.263	     0.297
  0.507960	     0.153	    -0.051	    -0.272	     0.316
  0.511280	     0.139	    -0.024	    -0.269	     0.304
  0.514600	     0.127	    -0.042	    -0.231	     0.267
  0.517920	     0.128	    -0.032	    -0.286	     0.315
  0.521240	     0.161	    -0.024	    -0.257	     0.304
  0.524560	     0.152	    -0.032	    -0.263	     0.305
  0.527880	     0.156	    -0.042	    -0.242	     0.291
  0.531200	     0.145	    -0.009	    -0.219	     0.263
  0.534520	     0.171	    -0.023	    -0.254	     0.307
  0.537840	     0.128	    -0.028	    -0.256	     0.288
  0.541160	     0.181	    -0.029	    -0.253	     0.312
  0.544480	     0.138	     0.006	    -0.267	     0.301
  0.547800	     0.141	    -0.032	    -0.276	     0.312
  0.551120	     0.179	    -0.026	    -0.283	     0.336
  0.554440	     0.123	    -0.025	    -0.263	     0.291
  0.557760	     0.132	    -0.008	    -0.259	     0.291
  0.561080	     0.169	    -0.044	    -0.263	     0.316
  0.564400	     0.152	    -0.039	    -0.251	     0.296
  0.567720	     0.138	    -0.035	    -0.259	     0.296
  0.571040	     0.145	    -0.033	    -0.255	     0.295
  0.574360	     0.174	    -0.029	    -0.248	     0.304
  0.577680	     0.142	    -0.009	    -0.249	     0.287
  0.581000	     0.145	    -0.018	    -0.248	     0.288
  0.584320	     0.156	    -0.027	    -0.274	     0.316
  0.587640	     0.150	    -0.030	    -0.284	     0.323
  0.590960	     0.135	    -0.029	    -0.264	     0.298
  0.594280	     0.153	    -0.022	    -0.268	     0.309
  0.597600	     0.171	    -0.042	    -0.263	     0.317
  0.600920	     0.132	    -0.013	    -0.270	     0.301
  0.604240	     0.131	    -0.040	    -0.269	     0.302
  0.607560	     0.140	    -0.024	    -0.234	     0.274
  0.610880	     0.150	    -0.029	    -0.248	     0.291
  0.614200	     0.143	    -0.024	    -0.271	     0.307
