All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 15:46:11
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.109	    -0.018	     0.233	     0.258
  0.006640	     0.134	    -0.013	     0.243	     0.278
  0.009960	     0.135	    -0.010	     0.262	     0.295
  0.013280	     0.156	    -0.008	     0.222	     0.271
  0.016600	     0.111	     0.008	     0.256	     0.279
  0.019920	     0.155	     0.006	     0.219	     0.268
  0.023240	     0.167	    -0.011	     0.255	     0.305
  0.026560	     0.127	    -0.004	     0.231	     0.264
  0.029880	     0.150	    -0.001	     0.256	     0.297
  0.033200	     0.152	     0.014	     0.224	     0.271
  0.036520	     0.139	     0.004	     0.255	     0.290
  0.039840	     0.141	     0.008	     0.262	     0.298
  0.043160	     0.152	     0.008	     0.244	     0.288
  0.046480	     0.160	    -0.020	     0.227	     0.278
  0.049800	     0.156	    -0.019	     0.245	     0.291
  0.053120	     0.134	     0.032	     0.233	     0.271
  0.056440	     0.141	    -0.010	     0.255	     0.292
  0.059760	     0.135	    -0.001	     0.241	     0.276
  0.063080	     0.144	     0.003	     0.234	     0.275
  0.066400	     0.127	    -0.014	     0.196	     0.234
  0.069720	     0.134	     0.006	     0.229	     0.265
  0.073040	     0.138	    -0.020	     0.218	     0.259
  0.076360	     0.126	    -0.003	     0.236	     0.268
  0.079680	     0.150	     0.007	     0.230	     0.275
  0.083000	     0.121	    -0.013	     0.237	     0.266
  0.086320	     0.147	    -0.003	     0.222	     0.266
  0.089640	     0.151	     0.003	     0.255	     0.296
  0.092960	     0.139	     0.003	     0.235	     0.273
  0.096280	     0.164	    -0.019	     0.250	     0.300
  0.099600	     0.127	     0.008	     0.235	     0.267
  0.102920	     0.126	    -0.024	     0.247	     0.278
  0.106240	     0.119	     0.008	     0.222	     0.252
  0.109560	     0.145	    -0.015	     0.249	     0.289
  0.112880	     0.162	     0.003	     0.249	     0.297
  0.116200	     0.155	     0.010	     0.245	     0.290
  0.119520	     0.133	    -0.022	     0.233	     0.269
  0.122840	     0.148	    -0.015	     0.230	     0.274
  0.126160	     0.157	    -0.004	     0.254	     0.299
  0.129480	     0.140	    -0.005	     0.239	     0.277
  0.132800	     0.151	    -0.012	     0.243	     0.286
  0.136120	     0.155	    -0.005	     0.233	     0.280
  0.139440	     0.156	     0.000	     0.256	     0.300
  0.142760	     0.137	     0.010	     0.222	     0.261
  0.146080	     0.156	    -0.003	     0.238	     0.285
  0.149400	     0.127	    -0.015	     0.234	     0.267
  0.152720	     0.124	    -0.015	     0.246	     0.276
  0.156040	     0.124	     0.005	     0.230	     0.261
  0.159360	     0.122	     0.000	     0.246	     0.275
  0.162680	     0.152	    -0.014	     0.228	     0.274
  0.166000	     0.153	     0.010	     0.204	     0.255
  0.169320	     0.146	    -0.007	     0.239	     0.280
  0.172640	     0.136	    -0.015	     0.239	     0.275
  0.175960	     0.131	    -0.001	     0.223	     0.259
  0.179280	     0.140	     0.021	     0.267	     0.302
  0.182600	     0.154	    -0.015	     0.233	     0.280
  0.185920	     0.136	    -0.031	     0.230	     0.269
  0.189240	     0.133	     0.020	     0.233	     0.269
  0.192560	     0.153	     0.023	     0.256	     0.299
  0.195880	     0.123	    -0.023	     0.244	     0.274
  0.199200	     0.151	    -0.010	     0.218	     0.265
  0.202520	     0.127	    -0.014	     0.243	     0.275
  0.205840	     0.149	    -0.029	     0.247	     0.290
  0.209160	     0.145	    -0.006	     0.246	     0.286
  0.212480	     0.129	     0.010	     0.246	     0.278
  0.215800	     0.126	    -0.011	     0.253	     0.283
  0.219120	     0.144	     0.029	     0.231	     0.274
  0.222440	     0.132	     0.012	     0.273	     0.303
  0.225760	     0.138	    -0.012	     0.211	     0.252
  0.229080	     0.127	    -0.003	     0.245	     0.276
  0.232400	     0.146	    -0.006	     0.227	     0.270
  0.235720	     0.151	     0.000	     0.236	     0.280
  0.239040	     0.125	    -0.021	     0.247	     0.278
  0.242360	     0.112	     0.001	     0.245	     0.269
  0.245680	     0.134	    -0.006	     0.258	     0.291
  0.249000	     0.154	    -0.004	     0.259	     0.301
  0.252320	     0.103	     0.001	     0.243	     0.264
  0.255640	     0.123	     0.001	     0.246	     0.275
  0.258960	     0.137	     0.012	     0.218	     0.258
  0.262280	     0.141	    -0.020	     0.252	     0.289
  0.265600	     0.133	     0.010	     0.242	     0.276
  0.268920	     0.129	    -0.007	     0.237	     0.270
  0.272240	     0.135	    -0.010	     0.231	     0.268
  0.275560	     0.137	    -0.003	     0.226	     0.264
  0.278880	     0.150	     0.017	     0.260	     0.301
  0.282200	     0.144	     0.014	     0.250	     0.289
  0.285520	     0.125	     0.009	     0.253	     0.282
  0.288840	     0.120	     0.001	     0.256	     0.283
  0.292160	     0.127	    -0.012	     0.256	     0.286
  0.295480	     0.145	    -0.009	     0.236	     0.277
  0.298800	     0.144	    -0.002	     0.240	     0.280
  0.302120	     0.124	    -0.021	     0.243	     0.274
  0.305440	     0.128	    -0.001	     0.277	     0.305
  0.308760	     0.128	     0.026	     0.231	     0.265
  0.312080	     0.111	     0.015	     0.239	     0.264
  0.315400	     0.133	    -0.021	     0.244	     0.279
  0.318720	     0.141	    -0.016	     0.247	     0.285
  0.322040	     0.127	     0.021	     0.242	     0.274
  0.325360	     0.111	    -0.003	     0.239	     0.264
  0.328680	     0.132	    -0.006	     0.247	     0.280
  0.332000	     0.139	     0.012	     0.240	     0.278
  0.335320	     0.133	     0.001	     0.251	     0.284
  0.338640	     0.116	     0.003	     0.265	     0.289
  0.341960	     0.128	    -0.004	     0.231	     0.264
  0.345280	     0.142	     0.010	     0.274	     0.309
  0.348600	     0.135	    -0.010	     0.257	     0.290
  0.351920	     0.152	     0.023	     0.249	     0.293
  0.355240	     0.148	    -0.003	     0.239	     0.281
  0.358560	     0.142	     0.036	     0.251	     0.291
  0.361880	     0.170	    -0.001	     0.242	     0.296
  0.365200	     0.148	     0.005	     0.246	     0.287
  0.368520	     0.144	    -0.027	     0.246	     0.286
  0.371840	     0.123	     0.016	     0.248	     0.277
  0.375160	     0.144	     0.001	     0.249	     0.288
  0.378480	     0.137	     0.003	     0.227	     0.265
  0.381800	     0.139	    -0.031	     0.246	     0.284
  0.385120	     0.163	     0.001	     0.239	     0.289
  0.388440	     0.168	     0.016	     0.261	     0.311
  0.391760	     0.153	     0.001	     0.246	     0.290
  0.395080	     0.137	     0.010	     0.255	     0.290
  0.398400	     0.154	    -0.017	     0.257	     0.300
  0.401720	     0.145	     0.006	     0.258	     0.296
  0.405040	     0.152	    -0.011	     0.246	     0.289
  0.408360	     0.154	    -0.001	     0.249	     0.293
  0.411680	     0.149	    -0.003	     0.236	     0.279
  0.415000	     0.127	     0.000	     0.239	     0.271
  0.418320	     0.158	     0.001	     0.245	     0.292
  0.421640	     0.112	     0.001	     0.245	     0.269
  0.424960	     0.119	    -0.006	     0.243	     0.271
  0.428280	     0.148	     0.010	     0.243	     0.285
  0.431600	     0.135	    -0.007	     0.271	     0.303
  0.434920	     0.106	     0.015	     0.244	     0.266
  0.438240	     0.143	    -0.020	     0.225	     0.267
  0.441560	     0.144	    -0.014	     0.239	     0.279
  0.444880	     0.141	     0.026	     0.238	     0.278
  0.448200	     0.142	    -0.040	     0.231	     0.274
  0.451520	     0.138	    -0.003	     0.224	     0.263
  0.454840	     0.117	     0.000	     0.265	     0.290
  0.458160	     0.129	     0.006	     0.252	     0.283
  0.461480	     0.124	    -0.017	     0.233	     0.264
  0.464800	     0.154	     0.003	     0.229	     0.276
  0.468120	     0.109	    -0.003	     0.256	     0.278
  0.471440	     0.122	     0.016	     0.246	     0.275
  0.474760	     0.123	     0.008	     0.239	     0.269
  0.478080	     0.160	    -0.006	     0.225	     0.276
  0.481400	     0.140	    -0.006	     0.223	     0.263
  0.484720	     0.106	     0.004	     0.241	     0.263
  0.488040	     0.111	     0.003	     0.234	     0.259
  0.491360	     0.102	     0.021	     0.222	     0.245
  0.494680	     0.147	    -0.009	     0.259	     0.298
  0.498000	     0.113	    -0.004	     0.241	     0.266
  0.501320	     0.146	    -0.007	     0.234	     0.276
  0.504640	     0.124	    -0.005	     0.245	     0.275
  0.507960	     0.116	     0.004	     0.274	     0.298
  0.511280	     0.107	     0.006	     0.221	     0.246
  0.514600	     0.129	     0.006	     0.252	     0.283
  0.517920	     0.143	     0.008	     0.246	     0.285
  0.521240	     0.144	     0.004	     0.244	     0.283
  0.524560	     0.158	    -0.005	     0.244	     0.291
  0.527880	     0.133	    -0.012	     0.249	     0.283
  0.531200	     0.132	    -0.015	     0.225	     0.261
  0.534520	     0.120	    -0.004	     0.228	     0.258
  0.537840	     0.111	    -0.008	     0.255	     0.278
  0.541160	     0.143	    -0.030	     0.243	     0.284
  0.544480	     0.115	    -0.018	     0.240	     0.267
  0.547800	     0.126	     0.013	     0.241	     0.272
  0.551120	     0.127	    -0.006	     0.245	     0.276
  0.554440	     0.099	     0.007	     0.237	     0.257
  0.557760	     0.127	     0.007	     0.262	     0.291
  0.561080	     0.142	    -0.010	     0.234	     0.274
  0.564400	     0.142	     0.003	     0.249	     0.287
  0.567720	     0.124	     0.029	     0.253	     0.283
  0.571040	     0.172	    -0.023	     0.229	     0.287
  0.574360	     0.144	     0.010	     0.252	     0.290
  0.577680	     0.120	     0.006	     0.246	     0.274
