All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:18:30
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.168	     0.088	     0.041	     0.194
  0.006640	     0.171	     0.105	     0.060	     0.209
  0.009960	     0.164	     0.130	     0.055	     0.216
  0.013280	     0.175	     0.114	     0.066	     0.219
  0.016600	     0.164	     0.082	     0.067	     0.195
  0.019920	     0.149	     0.101	     0.053	     0.188
  0.023240	     0.185	     0.077	     0.065	     0.211
  0.026560	     0.171	     0.091	     0.041	     0.198
  0.029880	     0.183	     0.080	     0.047	     0.205
  0.033200	     0.174	     0.115	     0.071	     0.220
  0.036520	     0.181	     0.120	     0.044	     0.222
  0.039840	     0.161	     0.092	     0.064	     0.196
  0.043160	     0.167	     0.094	     0.038	     0.195
  0.046480	     0.178	     0.101	     0.039	     0.208
  0.049800	     0.160	     0.117	     0.019	     0.199
  0.053120	     0.152	     0.097	     0.050	     0.187
  0.056440	     0.160	     0.068	     0.041	     0.179
  0.059760	     0.158	     0.097	     0.061	     0.195
  0.063080	     0.148	     0.097	     0.055	     0.185
  0.066400	     0.169	     0.089	     0.049	     0.197
  0.069720	     0.167	     0.101	     0.050	     0.201
  0.073040	     0.192	     0.115	     0.069	     0.234
  0.076360	     0.189	     0.108	     0.052	     0.224
  0.079680	     0.142	     0.084	     0.059	     0.175
  0.083000	     0.159	     0.123	     0.062	     0.210
  0.086320	     0.166	     0.102	     0.041	     0.199
  0.089640	     0.183	     0.095	     0.049	     0.212
  0.092960	     0.175	     0.112	     0.062	     0.217
  0.096280	     0.169	     0.103	     0.027	     0.200
  0.099600	     0.175	     0.097	     0.049	     0.206
  0.102920	     0.163	     0.094	     0.060	     0.197
  0.106240	     0.169	     0.081	     0.040	     0.192
  0.109560	     0.166	     0.122	     0.074	     0.219
  0.112880	     0.145	     0.085	     0.045	     0.174
  0.116200	     0.171	     0.113	     0.063	     0.214
  0.119520	     0.149	     0.117	     0.011	     0.190
  0.122840	     0.171	     0.100	     0.027	     0.200
  0.126160	     0.165	     0.106	     0.058	     0.205
  0.129480	     0.159	     0.114	     0.069	     0.207
  0.132800	     0.157	     0.090	     0.070	     0.194
  0.136120	     0.144	     0.112	     0.067	     0.194
  0.139440	     0.174	     0.099	     0.057	     0.208
  0.142760	     0.163	     0.110	     0.065	     0.207
  0.146080	     0.151	     0.109	     0.065	     0.197
  0.149400	     0.148	     0.085	     0.063	     0.182
  0.152720	     0.171	     0.089	     0.066	     0.204
  0.156040	     0.199	     0.095	     0.053	     0.227
  0.159360	     0.162	     0.106	     0.060	     0.203
  0.162680	     0.144	     0.106	     0.066	     0.191
  0.166000	     0.159	     0.081	     0.052	     0.186
  0.169320	     0.153	     0.103	     0.031	     0.187
  0.172640	     0.144	     0.116	     0.063	     0.195
  0.175960	     0.186	     0.074	     0.063	     0.210
  0.179280	     0.170	     0.110	     0.042	     0.207
  0.182600	     0.177	     0.137	     0.045	     0.228
  0.185920	     0.162	     0.101	     0.055	     0.199
  0.189240	     0.158	     0.094	     0.046	     0.190
  0.192560	     0.159	     0.115	     0.053	     0.203
  0.195880	     0.148	     0.115	     0.058	     0.196
  0.199200	     0.156	     0.129	     0.046	     0.208
  0.202520	     0.176	     0.085	     0.038	     0.199
  0.205840	     0.160	     0.069	     0.060	     0.184
  0.209160	     0.138	     0.099	     0.056	     0.179
  0.212480	     0.153	     0.106	     0.042	     0.191
  0.215800	     0.173	     0.087	     0.064	     0.204
  0.219120	     0.154	     0.114	     0.080	     0.208
  0.222440	     0.175	     0.093	     0.053	     0.205
  0.225760	     0.187	     0.116	     0.043	     0.224
  0.229080	     0.168	     0.104	     0.061	     0.207
  0.232400	     0.176	     0.101	     0.080	     0.218
  0.235720	     0.168	     0.116	     0.043	     0.209
  0.239040	     0.187	     0.090	     0.034	     0.210
  0.242360	     0.170	     0.095	     0.065	     0.205
  0.245680	     0.176	     0.110	     0.067	     0.218
  0.249000	     0.169	     0.079	     0.026	     0.188
  0.252320	     0.198	     0.106	     0.047	     0.229
  0.255640	     0.169	     0.089	     0.061	     0.201
  0.258960	     0.173	     0.108	     0.086	     0.221
  0.262280	     0.167	     0.100	     0.071	     0.207
  0.265600	     0.164	     0.115	     0.047	     0.206
  0.268920	     0.154	     0.083	     0.074	     0.190
  0.272240	     0.141	     0.088	     0.047	     0.173
  0.275560	     0.167	     0.104	     0.061	     0.206
  0.278880	     0.147	     0.078	     0.079	     0.184
  0.282200	     0.182	     0.088	     0.055	     0.210
  0.285520	     0.183	     0.081	     0.064	     0.210
  0.288840	     0.170	     0.081	     0.063	     0.199
  0.292160	     0.157	     0.127	     0.065	     0.212
  0.295480	     0.170	     0.111	     0.045	     0.208
  0.298800	     0.147	     0.083	     0.066	     0.181
  0.302120	     0.166	     0.101	     0.047	     0.200
  0.305440	     0.142	     0.101	     0.061	     0.185
  0.308760	     0.163	     0.101	     0.058	     0.200
  0.312080	     0.162	     0.088	     0.074	     0.199
  0.315400	     0.168	     0.103	     0.078	     0.212
  0.318720	     0.167	     0.087	     0.022	     0.190
  0.322040	     0.144	     0.104	     0.053	     0.185
  0.325360	     0.160	     0.088	     0.078	     0.199
  0.328680	     0.148	     0.090	     0.043	     0.178
  0.332000	     0.163	     0.105	     0.044	     0.199
  0.335320	     0.161	     0.114	     0.074	     0.211
  0.338640	     0.169	     0.099	     0.064	     0.206
  0.341960	     0.164	     0.115	     0.065	     0.211
  0.345280	     0.158	     0.092	     0.070	     0.196
  0.348600	     0.174	     0.103	     0.037	     0.206
  0.351920	     0.158	     0.090	     0.038	     0.186
  0.355240	     0.162	     0.114	     0.059	     0.207
  0.358560	     0.167	     0.092	     0.034	     0.194
  0.361880	     0.200	     0.109	     0.062	     0.236
  0.365200	     0.153	     0.096	     0.081	     0.198
  0.368520	     0.171	     0.101	     0.067	     0.210
  0.371840	     0.179	     0.060	     0.084	     0.207
  0.375160	     0.173	     0.093	     0.046	     0.202
  0.378480	     0.169	     0.103	     0.059	     0.207
  0.381800	     0.138	     0.095	     0.066	     0.180
  0.385120	     0.151	     0.081	     0.071	     0.185
  0.388440	     0.198	     0.078	     0.040	     0.217
  0.391760	     0.170	     0.095	     0.083	     0.212
  0.395080	     0.162	     0.109	     0.053	     0.202
  0.398400	     0.173	     0.082	     0.080	     0.207
  0.401720	     0.156	     0.083	     0.053	     0.184
  0.405040	     0.166	     0.105	     0.047	     0.202
  0.408360	     0.143	     0.087	     0.068	     0.181
  0.411680	     0.168	     0.099	     0.049	     0.201
  0.415000	     0.193	     0.099	     0.082	     0.232
  0.418320	     0.194	     0.106	     0.069	     0.232
