All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:13:2
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.113	    -0.130	     0.043	     0.178
  0.006640	     0.117	    -0.105	     0.072	     0.173
  0.009960	     0.114	    -0.082	     0.043	     0.147
  0.013280	     0.140	    -0.101	     0.058	     0.182
  0.016600	     0.126	    -0.114	     0.047	     0.176
  0.019920	     0.133	    -0.088	     0.052	     0.168
  0.023240	     0.125	    -0.119	     0.031	     0.175
  0.026560	     0.115	    -0.119	     0.042	     0.171
  0.029880	     0.145	    -0.085	     0.057	     0.177
  0.033200	     0.092	    -0.102	     0.075	     0.157
  0.036520	     0.120	    -0.088	     0.067	     0.163
  0.039840	     0.135	    -0.114	     0.078	     0.193
  0.043160	     0.113	    -0.074	     0.053	     0.145
  0.046480	     0.133	    -0.098	     0.095	     0.191
  0.049800	     0.091	    -0.078	     0.048	     0.129
  0.053120	     0.116	    -0.086	     0.057	     0.155
  0.056440	     0.125	    -0.082	     0.037	     0.154
  0.059760	     0.113	    -0.072	     0.064	     0.148
  0.063080	     0.122	    -0.108	     0.052	     0.171
  0.066400	     0.131	    -0.089	     0.074	     0.175
  0.069720	     0.115	    -0.102	     0.061	     0.165
  0.073040	     0.112	    -0.091	     0.055	     0.154
  0.076360	     0.123	    -0.080	     0.069	     0.162
  0.079680	     0.116	    -0.097	     0.071	     0.167
  0.083000	     0.108	    -0.082	     0.058	     0.147
  0.086320	     0.108	    -0.101	     0.058	     0.159
  0.089640	     0.119	    -0.102	     0.032	     0.160
  0.092960	     0.139	    -0.109	     0.044	     0.182
  0.096280	     0.150	    -0.088	     0.044	     0.179
  0.099600	     0.134	    -0.086	     0.034	     0.163
  0.102920	     0.115	    -0.110	     0.086	     0.181
  0.106240	     0.126	    -0.097	     0.070	     0.174
  0.109560	     0.141	    -0.085	     0.084	     0.185
  0.112880	     0.137	    -0.127	     0.055	     0.195
  0.116200	     0.113	    -0.097	     0.092	     0.175
  0.119520	     0.126	    -0.094	     0.087	     0.180
