All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:36:37
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.023	     0.028	     0.069	     0.078
  0.006640	     0.046	    -0.004	     0.074	     0.087
  0.009960	     0.039	    -0.004	     0.075	     0.085
  0.013280	     0.036	     0.025	     0.065	     0.078
  0.016600	     0.048	     0.004	     0.051	     0.070
  0.019920	     0.021	     0.010	     0.061	     0.065
  0.023240	     0.051	     0.001	     0.050	     0.071
  0.026560	     0.019	     0.004	     0.059	     0.062
  0.029880	     0.044	     0.005	     0.068	     0.081
  0.033200	     0.051	     0.023	     0.069	     0.089
  0.036520	     0.053	    -0.010	     0.043	     0.069
  0.039840	     0.045	     0.000	     0.047	     0.065
  0.043160	     0.036	     0.027	     0.043	     0.062
  0.046480	     0.032	     0.014	     0.064	     0.073
  0.049800	     0.043	     0.006	     0.065	     0.078
  0.053120	     0.021	     0.028	     0.047	     0.059
  0.056440	     0.023	     0.037	     0.092	     0.102
  0.059760	     0.039	     0.005	     0.068	     0.079
  0.063080	     0.030	     0.005	     0.061	     0.068
  0.066400	     0.034	     0.013	     0.061	     0.071
  0.069720	     0.051	     0.006	     0.068	     0.085
  0.073040	     0.032	     0.021	     0.071	     0.081
  0.076360	     0.038	    -0.005	     0.073	     0.082
  0.079680	     0.048	     0.020	     0.065	     0.083
  0.083000	     0.045	     0.013	     0.082	     0.094
  0.086320	     0.062	     0.003	     0.077	     0.099
  0.089640	     0.048	     0.027	     0.047	     0.072
  0.092960	     0.048	     0.009	     0.068	     0.084
  0.096280	     0.032	     0.002	     0.078	     0.084
  0.099600	     0.063	     0.026	     0.061	     0.091
  0.102920	     0.037	     0.023	     0.040	     0.059
  0.106240	     0.044	     0.034	     0.040	     0.068
  0.109560	     0.063	    -0.024	     0.079	     0.104
  0.112880	     0.054	     0.005	     0.047	     0.072
  0.116200	     0.055	    -0.006	     0.074	     0.092
  0.119520	     0.051	     0.012	     0.050	     0.072
  0.122840	     0.052	     0.014	     0.050	     0.073
  0.126160	     0.055	     0.002	     0.048	     0.073
  0.129480	     0.040	     0.028	     0.065	     0.081
  0.132800	     0.043	     0.016	     0.051	     0.069
  0.136120	     0.080	     0.030	     0.050	     0.099
  0.139440	     0.029	     0.012	     0.062	     0.069
  0.142760	     0.023	     0.015	     0.096	     0.100
  0.146080	     0.058	     0.034	     0.049	     0.083
  0.149400	     0.056	     0.018	     0.076	     0.096
  0.152720	     0.031	    -0.004	     0.052	     0.061
  0.156040	     0.024	     0.004	     0.067	     0.071
  0.159360	     0.048	     0.028	     0.047	     0.073
  0.162680	     0.029	     0.045	     0.054	     0.076
  0.166000	     0.058	     0.003	     0.065	     0.087
  0.169320	     0.029	     0.016	     0.076	     0.083
  0.172640	     0.030	     0.029	     0.058	     0.071
  0.175960	     0.041	     0.005	     0.049	     0.064
  0.179280	     0.028	     0.021	     0.070	     0.078
  0.182600	     0.028	     0.029	     0.065	     0.076
  0.185920	     0.036	     0.020	     0.066	     0.078
  0.189240	     0.053	     0.005	     0.080	     0.096
  0.192560	     0.036	     0.037	     0.063	     0.081
  0.195880	     0.040	     0.026	     0.069	     0.084
  0.199200	     0.046	    -0.001	     0.059	     0.075
  0.202520	     0.013	     0.026	     0.065	     0.071
  0.205840	     0.042	     0.014	     0.058	     0.073
  0.209160	     0.025	     0.008	     0.051	     0.057
  0.212480	     0.052	     0.002	     0.047	     0.070
  0.215800	     0.032	    -0.013	     0.044	     0.056
  0.219120	     0.036	     0.012	     0.078	     0.087
  0.222440	     0.034	     0.037	     0.053	     0.073
  0.225760	     0.036	     0.042	     0.066	     0.086
  0.229080	     0.022	    -0.015	     0.069	     0.074
  0.232400	     0.062	     0.030	     0.065	     0.095
  0.235720	     0.047	    -0.010	     0.057	     0.075
  0.239040	     0.063	     0.022	     0.071	     0.097
  0.242360	     0.048	     0.009	     0.056	     0.074
  0.245680	     0.017	     0.033	     0.056	     0.067
  0.249000	     0.059	     0.001	     0.094	     0.111
  0.252320	     0.008	     0.016	     0.046	     0.049
  0.255640	     0.023	     0.004	     0.082	     0.085
  0.258960	     0.012	     0.004	     0.048	     0.050
  0.262280	     0.011	     0.033	     0.063	     0.072
  0.265600	     0.061	     0.001	     0.050	     0.079
  0.268920	     0.054	     0.006	     0.068	     0.087
  0.272240	     0.026	    -0.015	     0.053	     0.061
  0.275560	     0.007	    -0.001	     0.057	     0.057
  0.278880	     0.024	     0.015	     0.071	     0.076
  0.282200	     0.018	     0.014	     0.069	     0.073
  0.285520	     0.059	    -0.007	     0.075	     0.096
  0.288840	     0.016	     0.006	     0.065	     0.067
  0.292160	     0.040	     0.007	     0.063	     0.075
  0.295480	     0.051	     0.037	     0.057	     0.085
  0.298800	     0.022	     0.003	     0.059	     0.063
  0.302120	     0.008	     0.050	     0.089	     0.102
  0.305440	     0.029	     0.027	     0.068	     0.079
  0.308760	     0.033	    -0.005	     0.078	     0.085
  0.312080	     0.006	     0.050	     0.067	     0.084
  0.315400	     0.036	    -0.008	     0.081	     0.089
  0.318720	     0.040	     0.031	     0.092	     0.105
  0.322040	     0.039	     0.039	     0.055	     0.078
  0.325360	     0.033	     0.003	     0.078	     0.085
  0.328680	     0.036	     0.003	     0.056	     0.067
  0.332000	     0.068	     0.014	     0.075	     0.102
  0.335320	     0.043	     0.008	     0.053	     0.069
  0.338640	     0.039	     0.013	     0.061	     0.074
  0.341960	     0.022	    -0.010	     0.036	     0.043
  0.345280	     0.007	     0.016	     0.059	     0.062
  0.348600	     0.032	     0.021	     0.077	     0.086
  0.351920	     0.043	    -0.001	     0.074	     0.086
  0.355240	     0.019	     0.019	     0.050	     0.057
  0.358560	     0.051	     0.012	     0.068	     0.086
  0.361880	     0.011	     0.006	     0.071	     0.072
  0.365200	     0.039	     0.040	     0.053	     0.077
  0.368520	     0.033	     0.015	     0.056	     0.067
  0.371840	     0.043	    -0.001	     0.034	     0.055
  0.375160	     0.012	     0.008	     0.089	     0.090
  0.378480	     0.036	     0.010	     0.061	     0.072
  0.381800	     0.028	     0.021	     0.069	     0.077
  0.385120	     0.016	     0.041	     0.076	     0.088
  0.388440	     0.045	     0.021	     0.067	     0.083
  0.391760	     0.040	    -0.004	     0.086	     0.095
  0.395080	     0.005	     0.021	     0.057	     0.061
  0.398400	     0.030	     0.015	     0.065	     0.073
  0.401720	     0.020	     0.024	     0.070	     0.077
