All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:42:51
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.248	    -0.022	     0.052	     0.254
  0.006640	     0.216	    -0.029	     0.032	     0.220
  0.009960	     0.236	    -0.031	     0.064	     0.246
  0.013280	     0.265	    -0.058	     0.031	     0.273
  0.016600	     0.253	    -0.040	     0.054	     0.262
  0.019920	     0.242	    -0.036	     0.060	     0.252
  0.023240	     0.226	    -0.042	     0.050	     0.235
  0.026560	     0.251	    -0.030	     0.050	     0.258
  0.029880	     0.242	    -0.022	     0.079	     0.256
  0.033200	     0.259	    -0.019	     0.045	     0.264
  0.036520	     0.250	    -0.035	     0.058	     0.259
  0.039840	     0.236	    -0.029	     0.046	     0.242
  0.043160	     0.261	    -0.031	     0.049	     0.267
  0.046480	     0.236	    -0.049	     0.045	     0.245
  0.049800	     0.239	    -0.031	     0.042	     0.245
  0.053120	     0.250	    -0.027	     0.060	     0.259
  0.056440	     0.266	    -0.042	     0.065	     0.277
  0.059760	     0.243	    -0.062	     0.056	     0.257
  0.063080	     0.253	    -0.055	     0.041	     0.262
  0.066400	     0.239	    -0.034	     0.059	     0.249
  0.069720	     0.259	    -0.053	     0.034	     0.267
  0.073040	     0.270	    -0.056	     0.050	     0.280
  0.076360	     0.252	    -0.041	     0.062	     0.263
  0.079680	     0.264	    -0.041	     0.081	     0.279
  0.083000	     0.245	    -0.053	     0.024	     0.252
  0.086320	     0.256	    -0.023	     0.039	     0.260
  0.089640	     0.254	    -0.052	     0.038	     0.262
  0.092960	     0.217	    -0.064	     0.047	     0.231
  0.096280	     0.238	    -0.027	     0.061	     0.247
  0.099600	     0.228	    -0.029	     0.053	     0.236
  0.102920	     0.244	    -0.051	     0.080	     0.262
  0.106240	     0.247	    -0.027	     0.050	     0.253
  0.109560	     0.253	    -0.053	     0.067	     0.267
  0.112880	     0.216	    -0.035	     0.054	     0.225
  0.116200	     0.261	    -0.041	     0.041	     0.267
  0.119520	     0.222	    -0.026	     0.057	     0.231
  0.122840	     0.262	    -0.030	     0.058	     0.270
  0.126160	     0.235	    -0.049	     0.062	     0.248
  0.129480	     0.236	    -0.018	     0.059	     0.244
  0.132800	     0.233	    -0.039	     0.038	     0.239
  0.136120	     0.234	    -0.051	     0.043	     0.243
  0.139440	     0.220	    -0.034	     0.050	     0.228
  0.142760	     0.246	    -0.060	     0.040	     0.256
  0.146080	     0.242	    -0.043	     0.056	     0.252
  0.149400	     0.261	    -0.024	     0.044	     0.266
  0.152720	     0.239	    -0.010	     0.058	     0.246
  0.156040	     0.234	    -0.015	     0.055	     0.241
  0.159360	     0.252	    -0.030	     0.049	     0.258
  0.162680	     0.261	    -0.040	     0.067	     0.272
  0.166000	     0.255	    -0.026	     0.067	     0.265
  0.169320	     0.228	    -0.034	     0.074	     0.242
  0.172640	     0.247	    -0.030	     0.054	     0.255
  0.175960	     0.246	    -0.036	     0.047	     0.253
  0.179280	     0.262	    -0.017	     0.065	     0.270
  0.182600	     0.241	    -0.024	     0.067	     0.251
  0.185920	     0.240	    -0.046	     0.062	     0.252
  0.189240	     0.233	    -0.023	     0.063	     0.242
  0.192560	     0.232	     0.017	     0.044	     0.237
  0.195880	     0.243	    -0.059	     0.067	     0.259
  0.199200	     0.253	    -0.032	     0.058	     0.262
  0.202520	     0.252	    -0.041	     0.048	     0.260
  0.205840	     0.260	    -0.023	     0.084	     0.274
  0.209160	     0.239	    -0.029	     0.049	     0.246
  0.212480	     0.253	    -0.009	     0.054	     0.259
  0.215800	     0.255	    -0.038	     0.052	     0.263
  0.219120	     0.241	    -0.029	     0.050	     0.248
  0.222440	     0.245	    -0.034	     0.059	     0.254
  0.225760	     0.221	    -0.033	     0.053	     0.230
  0.229080	     0.221	    -0.066	     0.033	     0.233
  0.232400	     0.243	    -0.043	     0.052	     0.252
  0.235720	     0.227	    -0.051	     0.032	     0.235
  0.239040	     0.260	    -0.032	     0.038	     0.265
  0.242360	     0.256	    -0.050	     0.035	     0.263
  0.245680	     0.241	    -0.033	     0.037	     0.246
  0.249000	     0.267	    -0.058	     0.044	     0.277
  0.252320	     0.260	    -0.040	     0.070	     0.272
  0.255640	     0.236	    -0.037	     0.058	     0.246
  0.258960	     0.234	    -0.057	     0.051	     0.246
  0.262280	     0.242	    -0.037	     0.057	     0.251
  0.265600	     0.244	    -0.029	     0.066	     0.254
  0.268920	     0.228	    -0.044	     0.053	     0.238
  0.272240	     0.239	    -0.038	     0.052	     0.248
  0.275560	     0.234	    -0.033	     0.056	     0.243
  0.278880	     0.255	    -0.039	     0.071	     0.268
  0.282200	     0.240	    -0.039	     0.056	     0.250
  0.285520	     0.247	    -0.062	     0.057	     0.261
  0.288840	     0.261	    -0.066	     0.074	     0.279
  0.292160	     0.221	    -0.042	     0.070	     0.236
  0.295480	     0.241	    -0.041	     0.051	     0.250
  0.298800	     0.232	    -0.052	     0.081	     0.251
  0.302120	     0.226	    -0.060	     0.065	     0.243
  0.305440	     0.240	    -0.042	     0.042	     0.247
  0.308760	     0.262	    -0.031	     0.052	     0.269
  0.312080	     0.208	    -0.034	     0.067	     0.221
  0.315400	     0.255	    -0.029	     0.055	     0.262
  0.318720	     0.246	    -0.034	     0.076	     0.260
  0.322040	     0.264	    -0.024	     0.055	     0.271
  0.325360	     0.254	    -0.027	     0.023	     0.256
  0.328680	     0.225	    -0.043	     0.071	     0.240
  0.332000	     0.231	    -0.028	     0.047	     0.237
  0.335320	     0.247	    -0.037	     0.042	     0.253
  0.338640	     0.238	    -0.015	     0.046	     0.243
  0.341960	     0.224	    -0.020	     0.038	     0.228
  0.345280	     0.261	    -0.025	     0.051	     0.267
  0.348600	     0.240	    -0.031	     0.056	     0.248
  0.351920	     0.238	    -0.032	     0.068	     0.250
  0.355240	     0.228	    -0.049	     0.074	     0.245
  0.358560	     0.253	    -0.037	     0.040	     0.259
  0.361880	     0.261	    -0.049	     0.034	     0.268
  0.365200	     0.256	    -0.027	     0.044	     0.261
  0.368520	     0.273	    -0.032	     0.068	     0.283
  0.371840	     0.259	    -0.062	     0.054	     0.272
  0.375160	     0.242	    -0.046	     0.065	     0.255
  0.378480	     0.231	    -0.041	     0.039	     0.238
  0.381800	     0.242	    -0.015	     0.039	     0.246
  0.385120	     0.240	    -0.037	     0.067	     0.252
  0.388440	     0.256	    -0.037	     0.054	     0.264
  0.391760	     0.233	    -0.033	     0.069	     0.245
  0.395080	     0.267	    -0.019	     0.025	     0.269
  0.398400	     0.238	    -0.031	     0.071	     0.250
  0.401720	     0.246	    -0.051	     0.062	     0.259
  0.405040	     0.246	    -0.057	     0.054	     0.258
  0.408360	     0.248	    -0.022	     0.059	     0.256
  0.411680	     0.231	    -0.027	     0.074	     0.244
  0.415000	     0.257	    -0.001	     0.067	     0.266
  0.418320	     0.235	    -0.040	     0.022	     0.239
  0.421640	     0.235	    -0.045	     0.072	     0.250
  0.424960	     0.264	    -0.045	     0.034	     0.270
  0.428280	     0.239	    -0.043	     0.028	     0.244
  0.431600	     0.253	    -0.025	     0.049	     0.259
  0.434920	     0.263	    -0.024	     0.043	     0.268
  0.438240	     0.236	    -0.042	     0.047	     0.244
  0.441560	     0.249	    -0.023	     0.045	     0.254
  0.444880	     0.246	    -0.019	     0.033	     0.249
  0.448200	     0.249	    -0.044	     0.044	     0.257
  0.451520	     0.243	    -0.006	     0.046	     0.247
  0.454840	     0.246	    -0.041	     0.062	     0.257
  0.458160	     0.237	    -0.021	     0.034	     0.240
  0.461480	     0.242	    -0.046	     0.067	     0.255
  0.464800	     0.225	    -0.032	     0.053	     0.233
  0.468120	     0.250	    -0.031	     0.038	     0.255
  0.471440	     0.236	    -0.041	     0.044	     0.244
