All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 15:52:59
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.122	    -0.003	     0.071	     0.141
  0.006640	     0.138	    -0.015	     0.055	     0.149
  0.009960	     0.164	    -0.002	     0.081	     0.183
  0.013280	     0.140	     0.008	     0.067	     0.155
  0.016600	     0.139	    -0.013	     0.054	     0.150
  0.019920	     0.142	    -0.009	     0.059	     0.154
  0.023240	     0.130	    -0.022	     0.061	     0.145
  0.026560	     0.153	    -0.009	     0.063	     0.166
  0.029880	     0.145	    -0.013	     0.046	     0.153
  0.033200	     0.125	    -0.032	     0.058	     0.141
  0.036520	     0.126	    -0.011	     0.062	     0.141
  0.039840	     0.145	    -0.009	     0.072	     0.162
  0.043160	     0.134	     0.003	     0.083	     0.158
  0.046480	     0.117	     0.003	     0.087	     0.146
  0.049800	     0.161	    -0.012	     0.102	     0.191
  0.053120	     0.149	    -0.010	     0.090	     0.174
  0.056440	     0.151	    -0.003	     0.068	     0.166
  0.059760	     0.146	    -0.016	     0.050	     0.155
  0.063080	     0.160	    -0.010	     0.053	     0.169
  0.066400	     0.116	    -0.006	     0.089	     0.146
  0.069720	     0.120	    -0.015	     0.075	     0.142
  0.073040	     0.141	    -0.034	     0.076	     0.164
  0.076360	     0.165	    -0.012	     0.066	     0.178
  0.079680	     0.149	    -0.040	     0.053	     0.163
  0.083000	     0.148	    -0.006	     0.064	     0.161
  0.086320	     0.153	    -0.031	     0.068	     0.170
  0.089640	     0.161	    -0.031	     0.061	     0.175
  0.092960	     0.135	    -0.008	     0.069	     0.152
  0.096280	     0.166	    -0.026	     0.053	     0.176
  0.099600	     0.145	     0.003	     0.067	     0.160
  0.102920	     0.144	    -0.027	     0.056	     0.157
  0.106240	     0.175	    -0.007	     0.052	     0.183
  0.109560	     0.141	    -0.042	     0.048	     0.155
  0.112880	     0.146	     0.002	     0.088	     0.170
  0.116200	     0.129	    -0.007	     0.068	     0.146
  0.119520	     0.139	     0.004	     0.071	     0.156
  0.122840	     0.155	    -0.020	     0.067	     0.170
  0.126160	     0.128	    -0.026	     0.078	     0.152
  0.129480	     0.149	    -0.006	     0.073	     0.166
  0.132800	     0.125	    -0.015	     0.074	     0.146
  0.136120	     0.132	    -0.010	     0.065	     0.147
  0.139440	     0.137	    -0.020	     0.057	     0.150
  0.142760	     0.131	    -0.035	     0.077	     0.156
  0.146080	     0.133	    -0.003	     0.055	     0.144
  0.149400	     0.143	     0.003	     0.069	     0.159
  0.152720	     0.135	    -0.005	     0.065	     0.150
  0.156040	     0.122	     0.003	     0.058	     0.135
  0.159360	     0.151	    -0.022	     0.063	     0.165
  0.162680	     0.128	    -0.036	     0.052	     0.143
  0.166000	     0.133	     0.012	     0.089	     0.160
  0.169320	     0.130	    -0.020	     0.069	     0.149
  0.172640	     0.117	    -0.010	     0.070	     0.137
  0.175960	     0.134	    -0.010	     0.092	     0.163
  0.179280	     0.134	    -0.016	     0.063	     0.149
  0.182600	     0.135	    -0.001	     0.069	     0.152
  0.185920	     0.149	     0.001	     0.064	     0.162
  0.189240	     0.137	     0.001	     0.061	     0.150
  0.192560	     0.129	    -0.012	     0.058	     0.142
  0.195880	     0.126	    -0.034	     0.063	     0.145
  0.199200	     0.140	    -0.009	     0.083	     0.163
  0.202520	     0.141	    -0.010	     0.049	     0.150
  0.205840	     0.115	    -0.012	     0.053	     0.127
  0.209160	     0.149	    -0.036	     0.067	     0.167
  0.212480	     0.149	     0.017	     0.082	     0.171
  0.215800	     0.152	    -0.020	     0.075	     0.171
  0.219120	     0.145	     0.016	     0.069	     0.161
