All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:3:33
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.167	    -0.028	     0.069	     0.183
  0.006640	     0.142	    -0.033	     0.051	     0.154
  0.009960	     0.166	    -0.003	     0.049	     0.173
  0.013280	     0.159	     0.012	     0.053	     0.168
  0.016600	     0.139	    -0.010	     0.033	     0.143
  0.019920	     0.127	    -0.025	     0.076	     0.150
  0.023240	     0.159	    -0.012	     0.048	     0.167
  0.026560	     0.154	    -0.015	     0.062	     0.167
  0.029880	     0.127	    -0.006	     0.058	     0.140
  0.033200	     0.160	     0.006	     0.058	     0.170
  0.036520	     0.156	    -0.015	     0.052	     0.165
  0.039840	     0.147	    -0.025	     0.056	     0.159
  0.043160	     0.163	    -0.035	     0.050	     0.174
  0.046480	     0.145	     0.006	     0.041	     0.151
  0.049800	     0.129	    -0.010	     0.069	     0.147
  0.053120	     0.150	    -0.019	     0.046	     0.158
  0.056440	     0.130	     0.008	     0.048	     0.139
  0.059760	     0.147	    -0.019	     0.048	     0.156
  0.063080	     0.147	    -0.023	     0.060	     0.160
  0.066400	     0.127	    -0.018	     0.071	     0.147
  0.069720	     0.167	    -0.031	     0.050	     0.177
  0.073040	     0.178	    -0.001	     0.051	     0.185
  0.076360	     0.159	     0.001	     0.040	     0.164
  0.079680	     0.138	     0.022	     0.065	     0.154
  0.083000	     0.122	    -0.007	     0.049	     0.132
  0.086320	     0.137	    -0.009	     0.056	     0.148
  0.089640	     0.149	    -0.005	     0.062	     0.161
  0.092960	     0.140	    -0.029	     0.022	     0.145
  0.096280	     0.167	    -0.032	     0.061	     0.181
  0.099600	     0.152	    -0.021	     0.066	     0.167
  0.102920	     0.162	    -0.017	     0.048	     0.170
  0.106240	     0.141	    -0.020	     0.040	     0.148
  0.109560	     0.152	    -0.003	     0.073	     0.169
  0.112880	     0.135	     0.002	     0.056	     0.146
  0.116200	     0.123	    -0.018	     0.086	     0.151
  0.119520	     0.141	    -0.001	     0.072	     0.158
