All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:15:38
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.141	    -0.004	     0.061	     0.154
  0.006640	     0.138	    -0.031	     0.081	     0.163
  0.009960	     0.181	     0.001	     0.077	     0.197
  0.013280	     0.135	     0.006	     0.057	     0.147
  0.016600	     0.127	    -0.024	     0.077	     0.150
  0.019920	     0.148	     0.008	     0.068	     0.163
  0.023240	     0.144	    -0.019	     0.061	     0.158
  0.026560	     0.152	    -0.014	     0.078	     0.171
  0.029880	     0.114	    -0.020	     0.085	     0.144
  0.033200	     0.147	    -0.021	     0.068	     0.163
  0.036520	     0.153	     0.006	     0.058	     0.164
  0.039840	     0.129	    -0.014	     0.064	     0.145
  0.043160	     0.134	    -0.010	     0.046	     0.142
  0.046480	     0.138	    -0.017	     0.058	     0.151
  0.049800	     0.140	    -0.020	     0.050	     0.150
  0.053120	     0.159	    -0.001	     0.040	     0.164
  0.056440	     0.138	     0.017	     0.075	     0.158
  0.059760	     0.169	     0.022	     0.071	     0.185
  0.063080	     0.142	    -0.010	     0.060	     0.154
  0.066400	     0.135	     0.011	     0.061	     0.149
  0.069720	     0.128	     0.010	     0.067	     0.145
  0.073040	     0.138	    -0.001	     0.077	     0.158
  0.076360	     0.146	     0.001	     0.041	     0.152
  0.079680	     0.135	     0.003	     0.067	     0.151
  0.083000	     0.148	     0.003	     0.061	     0.160
  0.086320	     0.178	    -0.027	     0.052	     0.187
  0.089640	     0.140	    -0.027	     0.061	     0.155
  0.092960	     0.144	    -0.039	     0.049	     0.157
  0.096280	     0.137	    -0.014	     0.054	     0.148
  0.099600	     0.140	     0.003	     0.074	     0.158
  0.102920	     0.113	    -0.018	     0.055	     0.127
  0.106240	     0.162	     0.005	     0.067	     0.175
  0.109560	     0.139	    -0.014	     0.062	     0.153
  0.112880	     0.135	    -0.005	     0.083	     0.159
  0.116200	     0.144	    -0.007	     0.061	     0.157
  0.119520	     0.153	    -0.014	     0.052	     0.162
  0.122840	     0.118	    -0.018	     0.058	     0.133
  0.126160	     0.137	    -0.023	     0.037	     0.144
  0.129480	     0.131	    -0.037	     0.046	     0.144
  0.132800	     0.149	    -0.005	     0.044	     0.155
  0.136120	     0.127	    -0.022	     0.089	     0.157
  0.139440	     0.156	    -0.020	     0.069	     0.172
  0.142760	     0.154	    -0.013	     0.077	     0.173
  0.146080	     0.166	    -0.016	     0.038	     0.171
  0.149400	     0.113	    -0.026	     0.055	     0.128
  0.152720	     0.120	    -0.009	     0.034	     0.125
  0.156040	     0.148	    -0.001	     0.067	     0.162
  0.159360	     0.142	    -0.018	     0.073	     0.161
  0.162680	     0.157	    -0.018	     0.067	     0.172
  0.166000	     0.142	    -0.009	     0.049	     0.150
  0.169320	     0.148	    -0.027	     0.046	     0.157
  0.172640	     0.120	    -0.010	     0.050	     0.130
  0.175960	     0.149	    -0.022	     0.102	     0.182
  0.179280	     0.138	    -0.040	     0.062	     0.156
  0.182600	     0.153	    -0.020	     0.042	     0.160
  0.185920	     0.123	     0.007	     0.039	     0.129
  0.189240	     0.170	    -0.030	     0.084	     0.192
  0.192560	     0.156	    -0.012	     0.071	     0.172
  0.195880	     0.131	     0.004	     0.053	     0.141
  0.199200	     0.142	    -0.028	     0.053	     0.154
  0.202520	     0.154	    -0.007	     0.062	     0.166
  0.205840	     0.141	    -0.010	     0.059	     0.153
  0.209160	     0.134	    -0.015	     0.055	     0.146
  0.212480	     0.137	    -0.007	     0.073	     0.155
  0.215800	     0.141	     0.004	     0.070	     0.157
  0.219120	     0.130	     0.014	     0.039	     0.136
  0.222440	     0.144	    -0.004	     0.046	     0.151
  0.225760	     0.158	    -0.021	     0.047	     0.166
  0.229080	     0.143	    -0.039	     0.043	     0.154
  0.232400	     0.125	    -0.001	     0.065	     0.141
  0.235720	     0.146	     0.003	     0.055	     0.156
  0.239040	     0.142	    -0.050	     0.090	     0.175
  0.242360	     0.121	    -0.019	     0.079	     0.146
