All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:51:13
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.146	    -0.013	     0.050	     0.155
  0.006640	     0.131	    -0.009	     0.043	     0.138
  0.009960	     0.126	    -0.027	     0.064	     0.144
  0.013280	     0.102	    -0.007	     0.065	     0.121
  0.016600	     0.123	    -0.015	     0.056	     0.136
  0.019920	     0.126	     0.003	     0.064	     0.141
  0.023240	     0.139	    -0.027	     0.069	     0.158
  0.026560	     0.129	    -0.037	     0.071	     0.152
  0.029880	     0.120	    -0.028	     0.080	     0.147
  0.033200	     0.135	    -0.020	     0.076	     0.156
  0.036520	     0.117	    -0.014	     0.064	     0.134
  0.039840	     0.127	    -0.009	     0.048	     0.136
  0.043160	     0.114	    -0.030	     0.062	     0.133
  0.046480	     0.131	    -0.027	     0.063	     0.148
  0.049800	     0.128	     0.009	     0.054	     0.139
  0.053120	     0.133	    -0.015	     0.077	     0.154
  0.056440	     0.137	    -0.002	     0.050	     0.146
  0.059760	     0.126	     0.012	     0.044	     0.134
  0.063080	     0.119	    -0.007	     0.072	     0.139
  0.066400	     0.135	    -0.014	     0.081	     0.158
  0.069720	     0.125	     0.010	     0.109	     0.166
  0.073040	     0.138	    -0.031	     0.077	     0.161
  0.076360	     0.149	    -0.013	     0.061	     0.162
  0.079680	     0.136	     0.017	     0.065	     0.152
  0.083000	     0.109	     0.008	     0.062	     0.126
  0.086320	     0.129	    -0.010	     0.055	     0.141
  0.089640	     0.138	    -0.001	     0.067	     0.153
  0.092960	     0.106	    -0.018	     0.061	     0.124
  0.096280	     0.142	    -0.020	     0.068	     0.159
  0.099600	     0.128	    -0.038	     0.074	     0.153
  0.102920	     0.154	    -0.014	     0.070	     0.170
  0.106240	     0.142	    -0.007	     0.089	     0.168
  0.109560	     0.142	    -0.009	     0.062	     0.155
  0.112880	     0.152	     0.016	     0.062	     0.165
  0.116200	     0.118	     0.010	     0.061	     0.133
  0.119520	     0.122	    -0.031	     0.080	     0.149
  0.122840	     0.132	     0.021	     0.060	     0.147
  0.126160	     0.111	    -0.015	     0.077	     0.136
