All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:1:26
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.148	    -0.048	    -0.337	     0.371
  0.006640	     0.154	    -0.019	    -0.305	     0.342
  0.009960	     0.146	    -0.006	    -0.306	     0.339
  0.013280	     0.133	    -0.032	    -0.286	     0.317
  0.016600	     0.149	    -0.018	    -0.303	     0.338
  0.019920	     0.148	    -0.033	    -0.304	     0.340
  0.023240	     0.166	    -0.014	    -0.298	     0.341
  0.026560	     0.149	    -0.048	    -0.308	     0.345
  0.029880	     0.159	    -0.053	    -0.299	     0.343
  0.033200	     0.146	    -0.040	    -0.284	     0.322
  0.036520	     0.143	    -0.025	    -0.299	     0.332
  0.039840	     0.142	    -0.023	    -0.279	     0.314
  0.043160	     0.162	    -0.038	    -0.305	     0.347
  0.046480	     0.145	    -0.026	    -0.299	     0.333
  0.049800	     0.148	    -0.033	    -0.304	     0.340
  0.053120	     0.154	    -0.024	    -0.304	     0.342
  0.056440	     0.152	    -0.046	    -0.309	     0.347
  0.059760	     0.150	    -0.034	    -0.289	     0.327
  0.063080	     0.140	    -0.044	    -0.312	     0.345
  0.066400	     0.124	    -0.036	    -0.286	     0.314
  0.069720	     0.153	    -0.045	    -0.316	     0.354
  0.073040	     0.141	    -0.043	    -0.289	     0.324
  0.076360	     0.177	    -0.014	    -0.303	     0.351
  0.079680	     0.173	    -0.014	    -0.284	     0.333
  0.083000	     0.138	    -0.001	    -0.318	     0.347
  0.086320	     0.141	    -0.024	    -0.278	     0.313
  0.089640	     0.179	    -0.041	    -0.300	     0.352
  0.092960	     0.131	    -0.016	    -0.304	     0.331
  0.096280	     0.149	    -0.023	    -0.299	     0.335
  0.099600	     0.131	    -0.023	    -0.292	     0.321
  0.102920	     0.155	    -0.019	    -0.300	     0.338
  0.106240	     0.158	    -0.058	    -0.299	     0.343
  0.109560	     0.127	    -0.028	    -0.303	     0.330
  0.112880	     0.152	    -0.039	    -0.321	     0.357
  0.116200	     0.137	    -0.026	    -0.291	     0.323
  0.119520	     0.153	    -0.026	    -0.301	     0.339
  0.122840	     0.152	    -0.041	    -0.299	     0.338
  0.126160	     0.133	    -0.037	    -0.312	     0.341
  0.129480	     0.149	    -0.034	    -0.294	     0.331
  0.132800	     0.163	    -0.010	    -0.294	     0.336
  0.136120	     0.134	    -0.032	    -0.284	     0.316
  0.139440	     0.150	    -0.032	    -0.287	     0.325
  0.142760	     0.140	    -0.018	    -0.287	     0.320
  0.146080	     0.153	    -0.024	    -0.293	     0.331
  0.149400	     0.144	    -0.050	    -0.295	     0.332
  0.152720	     0.151	    -0.046	    -0.324	     0.360
  0.156040	     0.137	    -0.019	    -0.314	     0.343
  0.159360	     0.141	    -0.031	    -0.308	     0.340
  0.162680	     0.117	    -0.018	    -0.301	     0.323
  0.166000	     0.115	    -0.049	    -0.323	     0.346
  0.169320	     0.140	    -0.029	    -0.297	     0.330
  0.172640	     0.138	    -0.057	    -0.308	     0.342
  0.175960	     0.138	    -0.037	    -0.313	     0.344
  0.179280	     0.133	    -0.052	    -0.334	     0.363
  0.182600	     0.146	    -0.041	    -0.308	     0.343
  0.185920	     0.138	    -0.043	    -0.302	     0.335
  0.189240	     0.141	    -0.029	    -0.321	     0.352
  0.192560	     0.147	    -0.020	    -0.296	     0.331
  0.195880	     0.147	    -0.023	    -0.304	     0.338
  0.199200	     0.106	    -0.049	    -0.314	     0.335
  0.202520	     0.139	    -0.045	    -0.289	     0.324
  0.205840	     0.135	    -0.035	    -0.271	     0.305
  0.209160	     0.167	    -0.043	    -0.298	     0.344
  0.212480	     0.126	    -0.028	    -0.298	     0.325
  0.215800	     0.137	    -0.020	    -0.304	     0.334
  0.219120	     0.143	    -0.051	    -0.287	     0.325
  0.222440	     0.138	    -0.029	    -0.324	     0.353
  0.225760	     0.135	    -0.037	    -0.313	     0.343
  0.229080	     0.142	    -0.035	    -0.278	     0.314
  0.232400	     0.154	    -0.011	    -0.318	     0.353
  0.235720	     0.130	    -0.029	    -0.309	     0.336
  0.239040	     0.137	    -0.027	    -0.289	     0.321
  0.242360	     0.149	    -0.025	    -0.308	     0.343
  0.245680	     0.169	    -0.046	    -0.330	     0.374
  0.249000	     0.139	    -0.032	    -0.308	     0.339
  0.252320	     0.137	    -0.035	    -0.263	     0.299
  0.255640	     0.142	    -0.017	    -0.298	     0.331
  0.258960	     0.141	    -0.012	    -0.310	     0.341
  0.262280	     0.153	    -0.027	    -0.304	     0.341
  0.265600	     0.128	    -0.044	    -0.306	     0.335
  0.268920	     0.141	    -0.038	    -0.339	     0.369
  0.272240	     0.135	    -0.020	    -0.303	     0.332
  0.275560	     0.159	    -0.041	    -0.319	     0.359
  0.278880	     0.121	    -0.024	    -0.319	     0.342
  0.282200	     0.149	    -0.009	    -0.320	     0.353
  0.285520	     0.141	    -0.052	    -0.288	     0.325
  0.288840	     0.118	    -0.033	    -0.283	     0.308
  0.292160	     0.135	     0.003	    -0.298	     0.327
  0.295480	     0.133	    -0.046	    -0.298	     0.330
  0.298800	     0.137	    -0.029	    -0.291	     0.323
  0.302120	     0.151	    -0.038	    -0.315	     0.351
  0.305440	     0.160	    -0.021	    -0.298	     0.339
  0.308760	     0.142	    -0.032	    -0.292	     0.326
  0.312080	     0.129	    -0.010	    -0.319	     0.344
  0.315400	     0.160	    -0.018	    -0.305	     0.345
  0.318720	     0.141	    -0.016	    -0.284	     0.317
  0.322040	     0.145	    -0.045	    -0.292	     0.329
  0.325360	     0.139	    -0.050	    -0.318	     0.351
  0.328680	     0.158	     0.002	    -0.290	     0.330
  0.332000	     0.155	    -0.018	    -0.263	     0.306
  0.335320	     0.146	    -0.040	    -0.314	     0.349
  0.338640	     0.139	    -0.038	    -0.302	     0.335
  0.341960	     0.140	    -0.021	    -0.351	     0.378
  0.345280	     0.135	    -0.048	    -0.265	     0.301
  0.348600	     0.156	    -0.046	    -0.338	     0.375
  0.351920	     0.154	    -0.032	    -0.308	     0.346
  0.355240	     0.158	    -0.014	    -0.291	     0.331
  0.358560	     0.157	    -0.017	    -0.322	     0.359
  0.361880	     0.141	    -0.032	    -0.309	     0.341
  0.365200	     0.138	    -0.043	    -0.296	     0.329
  0.368520	     0.173	    -0.037	    -0.321	     0.367
  0.371840	     0.142	    -0.045	    -0.302	     0.337
  0.375160	     0.143	    -0.010	    -0.286	     0.320
  0.378480	     0.137	    -0.034	    -0.299	     0.331
  0.381800	     0.159	    -0.043	    -0.282	     0.327
  0.385120	     0.159	    -0.031	    -0.306	     0.346
  0.388440	     0.148	    -0.033	    -0.306	     0.342
  0.391760	     0.145	    -0.029	    -0.313	     0.346
  0.395080	     0.135	    -0.032	    -0.310	     0.340
  0.398400	     0.132	    -0.033	    -0.314	     0.342
  0.401720	     0.140	    -0.023	    -0.308	     0.339
  0.405040	     0.176	    -0.038	    -0.336	     0.381
  0.408360	     0.143	    -0.012	    -0.298	     0.331
  0.411680	     0.112	    -0.004	    -0.328	     0.347
  0.415000	     0.131	    -0.029	    -0.318	     0.345
  0.418320	     0.140	    -0.045	    -0.324	     0.356
