All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 15:47:41
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.171	    -0.010	     0.300	     0.345
  0.006640	     0.142	    -0.015	     0.295	     0.328
  0.009960	     0.109	     0.014	     0.320	     0.338
  0.013280	     0.151	     0.002	     0.325	     0.358
  0.016600	     0.122	     0.034	     0.320	     0.344
  0.019920	     0.148	    -0.012	     0.337	     0.368
  0.023240	     0.141	     0.013	     0.281	     0.315
  0.026560	     0.130	     0.021	     0.316	     0.342
  0.029880	     0.140	    -0.004	     0.332	     0.360
  0.033200	     0.153	     0.003	     0.307	     0.343
  0.036520	     0.142	    -0.007	     0.300	     0.332
  0.039840	     0.151	     0.029	     0.323	     0.358
  0.043160	     0.147	     0.014	     0.307	     0.341
  0.046480	     0.137	    -0.005	     0.301	     0.331
  0.049800	     0.127	     0.012	     0.305	     0.331
  0.053120	     0.130	     0.001	     0.313	     0.339
  0.056440	     0.138	    -0.025	     0.306	     0.337
  0.059760	     0.137	     0.000	     0.299	     0.329
  0.063080	     0.133	     0.022	     0.316	     0.344
  0.066400	     0.141	     0.036	     0.302	     0.335
  0.069720	     0.131	     0.020	     0.336	     0.361
  0.073040	     0.152	     0.014	     0.301	     0.337
  0.076360	     0.109	    -0.021	     0.311	     0.330
  0.079680	     0.143	     0.014	     0.323	     0.354
  0.083000	     0.157	     0.021	     0.311	     0.349
  0.086320	     0.163	     0.004	     0.301	     0.342
  0.089640	     0.155	     0.003	     0.308	     0.345
  0.092960	     0.156	     0.021	     0.314	     0.351
  0.096280	     0.159	    -0.003	     0.317	     0.355
  0.099600	     0.155	     0.000	     0.296	     0.334
  0.102920	     0.159	     0.001	     0.296	     0.336
  0.106240	     0.144	     0.005	     0.301	     0.334
  0.109560	     0.134	     0.010	     0.341	     0.367
  0.112880	     0.142	    -0.028	     0.314	     0.346
  0.116200	     0.128	     0.012	     0.313	     0.338
  0.119520	     0.129	     0.019	     0.316	     0.342
  0.122840	     0.153	    -0.012	     0.320	     0.355
  0.126160	     0.146	     0.018	     0.322	     0.354
  0.129480	     0.136	     0.015	     0.310	     0.339
  0.132800	     0.115	     0.023	     0.316	     0.337
  0.136120	     0.147	    -0.006	     0.332	     0.363
  0.139440	     0.146	     0.002	     0.314	     0.346
  0.142760	     0.134	     0.024	     0.312	     0.340
  0.146080	     0.127	    -0.018	     0.299	     0.325
  0.149400	     0.169	    -0.008	     0.311	     0.354
  0.152720	     0.155	    -0.002	     0.306	     0.343
  0.156040	     0.168	     0.013	     0.336	     0.376
  0.159360	     0.163	    -0.005	     0.317	     0.356
  0.162680	     0.132	    -0.009	     0.305	     0.332
  0.166000	     0.142	     0.017	     0.319	     0.350
  0.169320	     0.120	     0.019	     0.323	     0.345
  0.172640	     0.153	    -0.004	     0.310	     0.346
  0.175960	     0.162	    -0.003	     0.344	     0.380
  0.179280	     0.174	    -0.007	     0.328	     0.371
  0.182600	     0.155	     0.019	     0.317	     0.353
  0.185920	     0.146	    -0.001	     0.320	     0.352
  0.189240	     0.155	     0.013	     0.319	     0.355
  0.192560	     0.137	     0.001	     0.325	     0.353
  0.195880	     0.143	     0.008	     0.312	     0.343
  0.199200	     0.131	     0.007	     0.312	     0.338
  0.202520	     0.156	     0.003	     0.289	     0.328
  0.205840	     0.163	    -0.023	     0.313	     0.354
  0.209160	     0.142	     0.017	     0.285	     0.319
  0.212480	     0.164	     0.036	     0.317	     0.359
  0.215800	     0.151	    -0.010	     0.274	     0.313
  0.219120	     0.166	     0.021	     0.309	     0.351
  0.222440	     0.144	     0.013	     0.321	     0.352
  0.225760	     0.122	     0.019	     0.310	     0.334
  0.229080	     0.151	     0.032	     0.307	     0.344
  0.232400	     0.146	     0.026	     0.317	     0.350
  0.235720	     0.136	     0.001	     0.322	     0.350
  0.239040	     0.142	    -0.018	     0.317	     0.348
  0.242360	     0.142	     0.025	     0.319	     0.350
  0.245680	     0.146	     0.026	     0.312	     0.345
  0.249000	     0.145	    -0.014	     0.314	     0.346
  0.252320	     0.124	     0.006	     0.293	     0.318
  0.255640	     0.144	     0.016	     0.301	     0.334
  0.258960	     0.146	     0.003	     0.313	     0.345
  0.262280	     0.145	     0.019	     0.317	     0.349
  0.265600	     0.144	     0.013	     0.290	     0.324
  0.268920	     0.148	     0.017	     0.317	     0.350
  0.272240	     0.163	    -0.009	     0.311	     0.351
  0.275560	     0.135	    -0.046	     0.298	     0.330
  0.278880	     0.163	     0.009	     0.302	     0.343
  0.282200	     0.142	    -0.017	     0.301	     0.333
  0.285520	     0.123	     0.017	     0.336	     0.358
  0.288840	     0.145	    -0.017	     0.302	     0.335
  0.292160	     0.125	    -0.009	     0.310	     0.334
  0.295480	     0.154	     0.003	     0.308	     0.344
  0.298800	     0.142	     0.016	     0.313	     0.344
  0.302120	     0.145	     0.004	     0.291	     0.325
  0.305440	     0.142	     0.008	     0.316	     0.347
  0.308760	     0.141	     0.002	     0.291	     0.323
  0.312080	     0.155	     0.011	     0.289	     0.328
  0.315400	     0.131	     0.018	     0.311	     0.338
  0.318720	     0.146	     0.016	     0.298	     0.332
  0.322040	     0.138	    -0.010	     0.311	     0.340
  0.325360	     0.141	     0.008	     0.292	     0.324
  0.328680	     0.119	    -0.001	     0.310	     0.332
  0.332000	     0.155	    -0.006	     0.311	     0.348
  0.335320	     0.128	    -0.008	     0.319	     0.344
  0.338640	     0.136	     0.010	     0.310	     0.339
  0.341960	     0.133	    -0.014	     0.306	     0.334
  0.345280	     0.123	     0.003	     0.305	     0.329
  0.348600	     0.155	    -0.004	     0.316	     0.352
  0.351920	     0.146	     0.006	     0.286	     0.321
  0.355240	     0.161	     0.001	     0.332	     0.369
  0.358560	     0.151	     0.024	     0.309	     0.345
  0.361880	     0.159	    -0.018	     0.284	     0.326
  0.365200	     0.179	     0.004	     0.298	     0.348
  0.368520	     0.137	     0.011	     0.304	     0.334
  0.371840	     0.159	     0.004	     0.317	     0.355
  0.375160	     0.135	     0.003	     0.298	     0.327
  0.378480	     0.151	    -0.012	     0.314	     0.349
  0.381800	     0.145	     0.001	     0.331	     0.361
  0.385120	     0.155	     0.004	     0.276	     0.317
  0.388440	     0.138	     0.010	     0.295	     0.326
  0.391760	     0.141	    -0.009	     0.328	     0.357
  0.395080	     0.133	    -0.025	     0.324	     0.351
  0.398400	     0.125	    -0.009	     0.322	     0.346
  0.401720	     0.109	     0.009	     0.332	     0.350
  0.405040	     0.118	     0.014	     0.314	     0.336
  0.408360	     0.125	     0.000	     0.277	     0.304
  0.411680	     0.125	     0.010	     0.316	     0.340
  0.415000	     0.131	    -0.004	     0.292	     0.320
  0.418320	     0.148	    -0.006	     0.279	     0.316
  0.421640	     0.163	     0.002	     0.305	     0.346
  0.424960	     0.160	     0.005	     0.311	     0.350
  0.428280	     0.170	    -0.012	     0.305	     0.349
  0.431600	     0.151	    -0.023	     0.297	     0.334
  0.434920	     0.148	     0.020	     0.299	     0.334
  0.438240	     0.173	     0.003	     0.328	     0.371
  0.441560	     0.143	     0.014	     0.316	     0.347
  0.444880	     0.133	     0.015	     0.303	     0.331
  0.448200	     0.152	     0.010	     0.323	     0.357
  0.451520	     0.145	     0.006	     0.305	     0.338
  0.454840	     0.148	     0.015	     0.317	     0.350
  0.458160	     0.144	     0.021	     0.316	     0.348
  0.461480	     0.187	     0.015	     0.305	     0.358
  0.464800	     0.179	     0.004	     0.306	     0.355
  0.468120	     0.142	    -0.004	     0.320	     0.350
  0.471440	     0.134	     0.019	     0.322	     0.349
  0.474760	     0.124	    -0.004	     0.313	     0.337
  0.478080	     0.170	     0.011	     0.320	     0.363
  0.481400	     0.122	    -0.013	     0.305	     0.329
  0.484720	     0.153	    -0.007	     0.309	     0.345
  0.488040	     0.163	     0.037	     0.311	     0.353
  0.491360	     0.156	    -0.015	     0.311	     0.348
  0.494680	     0.155	     0.016	     0.305	     0.342
  0.498000	     0.167	     0.006	     0.308	     0.350
  0.501320	     0.160	     0.011	     0.319	     0.357
  0.504640	     0.142	     0.007	     0.309	     0.340
  0.507960	     0.154	     0.003	     0.311	     0.347
  0.511280	     0.151	     0.009	     0.310	     0.345
  0.514600	     0.134	    -0.006	     0.314	     0.341
  0.517920	     0.147	     0.006	     0.313	     0.346
  0.521240	     0.142	    -0.003	     0.316	     0.346
  0.524560	     0.167	    -0.003	     0.298	     0.342
  0.527880	     0.138	    -0.007	     0.293	     0.324
  0.531200	     0.122	     0.012	     0.335	     0.357
  0.534520	     0.132	    -0.012	     0.314	     0.341
  0.537840	     0.133	     0.013	     0.298	     0.327
  0.541160	     0.168	     0.002	     0.332	     0.372
  0.544480	     0.158	     0.013	     0.308	     0.346
  0.547800	     0.164	     0.013	     0.307	     0.348
  0.551120	     0.161	     0.015	     0.331	     0.368
  0.554440	     0.156	     0.026	     0.325	     0.361
  0.557760	     0.142	    -0.002	     0.304	     0.336
  0.561080	     0.171	     0.013	     0.332	     0.374
  0.564400	     0.155	     0.017	     0.323	     0.359
  0.567720	     0.162	     0.007	     0.320	     0.359
  0.571040	     0.155	     0.011	     0.322	     0.358
  0.574360	     0.126	     0.021	     0.308	     0.333
  0.577680	     0.163	    -0.019	     0.320	     0.360
  0.581000	     0.149	    -0.010	     0.319	     0.352
  0.584320	     0.151	    -0.010	     0.320	     0.354
  0.587640	     0.162	    -0.006	     0.305	     0.345
  0.590960	     0.155	     0.000	     0.320	     0.356
  0.594280	     0.163	     0.006	     0.278	     0.322
  0.597600	     0.164	    -0.010	     0.315	     0.355
  0.600920	     0.182	    -0.012	     0.302	     0.353
  0.604240	     0.136	     0.008	     0.302	     0.331
  0.607560	     0.166	     0.006	     0.317	     0.358
  0.610880	     0.156	     0.020	     0.298	     0.337
  0.614200	     0.137	     0.007	     0.281	     0.313
  0.617520	     0.167	    -0.010	     0.320	     0.361
  0.620840	     0.153	    -0.001	     0.319	     0.354
  0.624160	     0.167	     0.003	     0.320	     0.361
  0.627480	     0.156	    -0.021	     0.311	     0.349
  0.630800	     0.151	     0.007	     0.313	     0.348
  0.634120	     0.156	    -0.023	     0.299	     0.338
  0.637440	     0.162	     0.008	     0.292	     0.334
  0.640760	     0.137	     0.015	     0.311	     0.340
  0.644080	     0.169	     0.011	     0.302	     0.346
  0.647400	     0.156	    -0.004	     0.321	     0.357
  0.650720	     0.164	     0.011	     0.314	     0.354
  0.654040	     0.131	    -0.002	     0.328	     0.353
  0.657360	     0.163	     0.007	     0.293	     0.335
  0.660680	     0.145	     0.021	     0.320	     0.352
  0.664000	     0.132	     0.028	     0.292	     0.322
  0.667320	     0.135	     0.004	     0.311	     0.339
  0.670640	     0.134	    -0.005	     0.307	     0.335
  0.673960	     0.152	     0.000	     0.318	     0.352
  0.677280	     0.150	    -0.014	     0.311	     0.346
  0.680600	     0.133	     0.013	     0.325	     0.351
  0.683920	     0.153	    -0.003	     0.315	     0.350
  0.687240	     0.129	     0.027	     0.313	     0.340
  0.690560	     0.153	     0.002	     0.294	     0.331
  0.693880	     0.136	     0.015	     0.309	     0.338
  0.697200	     0.140	     0.016	     0.314	     0.344
  0.700520	     0.142	    -0.004	     0.313	     0.344
  0.703840	     0.160	     0.031	     0.288	     0.331
  0.707160	     0.143	     0.021	     0.324	     0.355
  0.710480	     0.138	    -0.007	     0.316	     0.345
  0.713800	     0.161	     0.014	     0.313	     0.352
  0.717120	     0.141	     0.012	     0.323	     0.353
  0.720440	     0.167	     0.018	     0.278	     0.325
  0.723760	     0.163	     0.014	     0.324	     0.363
  0.727080	     0.152	     0.003	     0.317	     0.352
  0.730400	     0.149	     0.006	     0.349	     0.380
  0.733720	     0.145	     0.015	     0.309	     0.342
  0.737040	     0.145	     0.014	     0.335	     0.365
  0.740360	     0.133	     0.021	     0.321	     0.348
  0.743680	     0.122	     0.018	     0.317	     0.340
  0.747000	     0.141	    -0.003	     0.308	     0.339
  0.750320	     0.162	     0.016	     0.316	     0.355
  0.753640	     0.133	     0.003	     0.308	     0.336
  0.756960	     0.155	     0.010	     0.304	     0.341
  0.760280	     0.144	     0.005	     0.299	     0.332
  0.763600	     0.127	     0.007	     0.312	     0.337
  0.766920	     0.141	     0.003	     0.305	     0.336
  0.770240	     0.140	    -0.007	     0.319	     0.348
  0.773560	     0.137	     0.009	     0.319	     0.347
  0.776880	     0.134	     0.032	     0.310	     0.339
  0.780200	     0.149	    -0.011	     0.320	     0.353
  0.783520	     0.170	    -0.005	     0.299	     0.344
  0.786840	     0.168	     0.006	     0.311	     0.354
  0.790160	     0.150	    -0.024	     0.313	     0.348
  0.793480	     0.178	     0.022	     0.328	     0.374
  0.796800	     0.148	     0.014	     0.294	     0.329
  0.800120	     0.176	     0.007	     0.314	     0.360
  0.803440	     0.131	     0.003	     0.291	     0.319
  0.806760	     0.119	     0.000	     0.307	     0.329
  0.810080	     0.153	    -0.004	     0.297	     0.334
  0.813400	     0.175	     0.015	     0.323	     0.368
  0.816720	     0.130	    -0.023	     0.317	     0.343
  0.820040	     0.162	     0.006	     0.309	     0.349
  0.823360	     0.145	     0.000	     0.322	     0.353
  0.826680	     0.129	     0.006	     0.301	     0.328
  0.830000	     0.130	     0.009	     0.330	     0.355
  0.833320	     0.138	     0.032	     0.298	     0.330
  0.836640	     0.140	     0.016	     0.315	     0.345
  0.839960	     0.137	     0.011	     0.314	     0.343
  0.843280	     0.160	     0.020	     0.311	     0.350
  0.846600	     0.177	    -0.009	     0.320	     0.366
  0.849920	     0.141	    -0.003	     0.324	     0.353
  0.853240	     0.158	     0.003	     0.319	     0.356
  0.856560	     0.136	     0.003	     0.283	     0.314
  0.859880	     0.160	    -0.016	     0.311	     0.350
  0.863200	     0.131	     0.024	     0.319	     0.346
  0.866520	     0.151	     0.041	     0.307	     0.345
  0.869840	     0.163	    -0.023	     0.302	     0.344
  0.873160	     0.164	    -0.024	     0.310	     0.352
  0.876480	     0.128	    -0.010	     0.323	     0.348
  0.879800	     0.163	     0.038	     0.317	     0.358
  0.883120	     0.126	     0.026	     0.313	     0.338
  0.886440	     0.125	     0.010	     0.321	     0.345
  0.889760	     0.142	    -0.001	     0.347	     0.375
  0.893080	     0.127	     0.004	     0.296	     0.322
  0.896400	     0.120	     0.032	     0.310	     0.334
  0.899720	     0.134	     0.019	     0.316	     0.344
  0.903040	     0.166	    -0.004	     0.313	     0.354
  0.906360	     0.131	    -0.004	     0.304	     0.331
  0.909680	     0.136	     0.006	     0.317	     0.345
  0.913000	     0.152	     0.029	     0.293	     0.331
  0.916320	     0.142	     0.016	     0.322	     0.352
  0.919640	     0.174	    -0.002	     0.304	     0.350
  0.922960	     0.134	    -0.005	     0.295	     0.324
  0.926280	     0.137	     0.016	     0.338	     0.365
  0.929600	     0.136	     0.001	     0.307	     0.336
  0.932920	     0.145	     0.006	     0.291	     0.325
  0.936240	     0.159	    -0.006	     0.313	     0.351
  0.939560	     0.149	     0.002	     0.323	     0.356
  0.942880	     0.158	    -0.010	     0.322	     0.359
  0.946200	     0.137	    -0.017	     0.304	     0.334
  0.949520	     0.155	    -0.010	     0.326	     0.361
  0.952840	     0.156	    -0.001	     0.310	     0.347
  0.956160	     0.153	    -0.014	     0.322	     0.357
  0.959480	     0.171	    -0.014	     0.318	     0.361
  0.962800	     0.151	     0.007	     0.298	     0.334
  0.966120	     0.173	     0.005	     0.302	     0.348
  0.969440	     0.154	    -0.004	     0.308	     0.344
  0.972760	     0.195	     0.009	     0.319	     0.374
  0.976080	     0.166	     0.000	     0.306	     0.348
  0.979400	     0.155	     0.012	     0.302	     0.340
  0.982720	     0.149	     0.011	     0.311	     0.345
  0.986040	     0.159	    -0.006	     0.298	     0.338
  0.989360	     0.166	     0.004	     0.261	     0.309
  0.992680	     0.172	    -0.002	     0.306	     0.351
  0.996000	     0.137	     0.005	     0.311	     0.340
  0.999320	     0.167	     0.017	     0.337	     0.376
  1.002640	     0.155	     0.005	     0.303	     0.340
  1.005960	     0.150	     0.011	     0.290	     0.327
  1.009280	     0.131	     0.001	     0.322	     0.348
  1.012600	     0.129	    -0.006	     0.304	     0.330
  1.015920	     0.134	    -0.002	     0.337	     0.363
  1.019240	     0.151	     0.005	     0.308	     0.343
  1.022560	     0.144	    -0.001	     0.314	     0.345
  1.025880	     0.133	    -0.022	     0.296	     0.325
  1.029200	     0.117	     0.017	     0.322	     0.343
  1.032520	     0.121	    -0.012	     0.310	     0.333
  1.035840	     0.137	     0.012	     0.322	     0.350
  1.039160	     0.151	     0.001	     0.290	     0.327
  1.042480	     0.137	     0.028	     0.299	     0.330
  1.045800	     0.124	    -0.016	     0.298	     0.323
  1.049120	     0.171	     0.000	     0.293	     0.339
  1.052440	     0.146	    -0.014	     0.314	     0.347
  1.055760	     0.131	     0.005	     0.338	     0.363
  1.059080	     0.126	    -0.018	     0.298	     0.324
  1.062400	     0.159	    -0.016	     0.317	     0.355
  1.065720	     0.138	     0.038	     0.314	     0.345
  1.069040	     0.141	    -0.017	     0.323	     0.353
  1.072360	     0.140	     0.010	     0.314	     0.344
  1.075680	     0.146	     0.005	     0.317	     0.349
  1.079000	     0.163	     0.023	     0.281	     0.326
  1.082320	     0.131	     0.014	     0.299	     0.327
  1.085640	     0.120	     0.010	     0.286	     0.310
  1.088960	     0.164	     0.009	     0.311	     0.352
  1.092280	     0.134	     0.003	     0.317	     0.344
