All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:19:20
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.194	     0.144	     0.049	     0.247
  0.006640	     0.189	     0.148	     0.032	     0.242
  0.009960	     0.194	     0.171	     0.037	     0.261
  0.013280	     0.157	     0.153	     0.064	     0.228
  0.016600	     0.176	     0.148	     0.059	     0.237
  0.019920	     0.189	     0.159	     0.065	     0.255
  0.023240	     0.145	     0.157	     0.051	     0.220
  0.026560	     0.184	     0.136	     0.056	     0.236
  0.029880	     0.176	     0.155	     0.061	     0.242
  0.033200	     0.148	     0.171	     0.090	     0.243
  0.036520	     0.177	     0.150	     0.061	     0.240
  0.039840	     0.191	     0.161	     0.071	     0.260
  0.043160	     0.156	     0.147	     0.065	     0.224
  0.046480	     0.176	     0.143	     0.039	     0.230
  0.049800	     0.166	     0.149	     0.078	     0.236
  0.053120	     0.179	     0.177	     0.058	     0.258
  0.056440	     0.166	     0.162	     0.086	     0.247
  0.059760	     0.170	     0.123	     0.072	     0.222
  0.063080	     0.175	     0.152	     0.049	     0.237
  0.066400	     0.194	     0.152	     0.061	     0.254
  0.069720	     0.176	     0.146	     0.052	     0.235
  0.073040	     0.156	     0.144	     0.040	     0.216
  0.076360	     0.174	     0.194	     0.043	     0.264
  0.079680	     0.181	     0.146	     0.049	     0.238
  0.083000	     0.185	     0.138	     0.034	     0.233
  0.086320	     0.193	     0.163	     0.068	     0.262
  0.089640	     0.170	     0.139	     0.062	     0.228
  0.092960	     0.192	     0.144	     0.036	     0.243
  0.096280	     0.187	     0.153	     0.072	     0.252
  0.099600	     0.185	     0.146	     0.052	     0.241
  0.102920	     0.162	     0.159	     0.040	     0.230
  0.106240	     0.167	     0.163	     0.062	     0.241
  0.109560	     0.207	     0.139	     0.045	     0.253
  0.112880	     0.177	     0.154	     0.056	     0.241
  0.116200	     0.173	     0.158	     0.055	     0.241
  0.119520	     0.195	     0.162	     0.068	     0.262
  0.122840	     0.163	     0.144	     0.070	     0.228
  0.126160	     0.163	     0.173	     0.026	     0.239
  0.129480	     0.182	     0.157	     0.043	     0.244
  0.132800	     0.160	     0.118	     0.054	     0.206
  0.136120	     0.164	     0.155	     0.065	     0.235
  0.139440	     0.179	     0.150	     0.058	     0.241
  0.142760	     0.185	     0.151	     0.025	     0.240
  0.146080	     0.163	     0.143	     0.085	     0.233
  0.149400	     0.184	     0.149	     0.027	     0.238
  0.152720	     0.171	     0.168	     0.043	     0.244
  0.156040	     0.184	     0.161	     0.054	     0.250
  0.159360	     0.158	     0.152	     0.060	     0.227
  0.162680	     0.156	     0.148	     0.065	     0.225
  0.166000	     0.158	     0.161	     0.035	     0.228
  0.169320	     0.160	     0.159	     0.035	     0.228
  0.172640	     0.148	     0.155	     0.052	     0.221
  0.175960	     0.172	     0.152	     0.058	     0.237
  0.179280	     0.172	     0.131	     0.068	     0.227
  0.182600	     0.184	     0.150	     0.064	     0.246
  0.185920	     0.175	     0.132	     0.049	     0.225
  0.189240	     0.182	     0.167	     0.051	     0.252
  0.192560	     0.178	     0.184	     0.055	     0.262
  0.195880	     0.186	     0.135	     0.049	     0.235
  0.199200	     0.175	     0.177	     0.052	     0.254
  0.202520	     0.181	     0.183	     0.064	     0.265
  0.205840	     0.185	     0.141	     0.045	     0.237
  0.209160	     0.162	     0.140	     0.053	     0.221
  0.212480	     0.171	     0.139	     0.068	     0.231
  0.215800	     0.162	     0.163	     0.039	     0.233
  0.219120	     0.173	     0.157	     0.056	     0.240
  0.222440	     0.165	     0.153	     0.050	     0.231
  0.225760	     0.160	     0.139	     0.063	     0.221
  0.229080	     0.190	     0.146	     0.067	     0.249
  0.232400	     0.181	     0.155	     0.029	     0.240
  0.235720	     0.169	     0.148	     0.058	     0.232
  0.239040	     0.176	     0.155	     0.065	     0.243
  0.242360	     0.179	     0.183	     0.026	     0.257
  0.245680	     0.183	     0.139	     0.040	     0.233
  0.249000	     0.177	     0.168	     0.050	     0.249
  0.252320	     0.162	     0.134	     0.065	     0.220
  0.255640	     0.181	     0.153	     0.041	     0.241
  0.258960	     0.140	     0.142	     0.053	     0.206
  0.262280	     0.156	     0.178	     0.042	     0.240
  0.265600	     0.198	     0.144	     0.060	     0.252
  0.268920	     0.187	     0.155	     0.014	     0.243
  0.272240	     0.179	     0.159	     0.040	     0.243
  0.275560	     0.178	     0.124	     0.053	     0.223
  0.278880	     0.176	     0.152	     0.059	     0.240
  0.282200	     0.180	     0.152	     0.063	     0.244
  0.285520	     0.173	     0.128	     0.060	     0.223
  0.288840	     0.171	     0.137	     0.062	     0.228
  0.292160	     0.183	     0.177	     0.047	     0.259
  0.295480	     0.197	     0.151	     0.072	     0.258
  0.298800	     0.178	     0.161	     0.063	     0.248
  0.302120	     0.157	     0.132	     0.045	     0.210
  0.305440	     0.200	     0.158	     0.072	     0.265
  0.308760	     0.186	     0.148	     0.065	     0.246
  0.312080	     0.196	     0.171	     0.074	     0.270
  0.315400	     0.156	     0.131	     0.046	     0.209
  0.318720	     0.195	     0.169	     0.061	     0.265
  0.322040	     0.189	     0.135	     0.052	     0.238
  0.325360	     0.178	     0.163	     0.056	     0.248
  0.328680	     0.194	     0.157	     0.062	     0.257
  0.332000	     0.212	     0.168	     0.078	     0.282
  0.335320	     0.174	     0.149	     0.075	     0.241
  0.338640	     0.201	     0.155	     0.029	     0.255
  0.341960	     0.188	     0.138	     0.055	     0.240
  0.345280	     0.189	     0.163	     0.050	     0.255
  0.348600	     0.185	     0.152	     0.074	     0.251
  0.351920	     0.170	     0.150	     0.061	     0.235
  0.355240	     0.224	     0.166	     0.054	     0.284
  0.358560	     0.189	     0.168	     0.081	     0.266
  0.361880	     0.200	     0.168	     0.081	     0.273
  0.365200	     0.179	     0.157	     0.042	     0.242
  0.368520	     0.199	     0.164	     0.063	     0.265
  0.371840	     0.167	     0.148	     0.070	     0.234
  0.375160	     0.174	     0.166	     0.032	     0.243
  0.378480	     0.185	     0.145	     0.059	     0.242
  0.381800	     0.176	     0.163	     0.047	     0.244
  0.385120	     0.182	     0.152	     0.059	     0.244
  0.388440	     0.205	     0.153	     0.040	     0.259
  0.391760	     0.184	     0.164	     0.055	     0.253
  0.395080	     0.170	     0.141	     0.034	     0.223
  0.398400	     0.199	     0.135	     0.061	     0.248
  0.401720	     0.167	     0.137	     0.046	     0.221
  0.405040	     0.149	     0.155	     0.078	     0.229
  0.408360	     0.165	     0.163	     0.062	     0.240
  0.411680	     0.167	     0.151	     0.047	     0.230
  0.415000	     0.163	     0.164	     0.050	     0.237
  0.418320	     0.173	     0.155	     0.043	     0.236
  0.421640	     0.204	     0.155	     0.064	     0.264
  0.424960	     0.166	     0.179	     0.055	     0.250
  0.428280	     0.195	     0.147	     0.033	     0.246
  0.431600	     0.191	     0.148	     0.067	     0.251
  0.434920	     0.169	     0.174	     0.039	     0.246
  0.438240	     0.177	     0.150	     0.059	     0.239
  0.441560	     0.196	     0.155	     0.050	     0.255
  0.444880	     0.195	     0.168	     0.043	     0.261
  0.448200	     0.162	     0.157	     0.049	     0.231
  0.451520	     0.166	     0.144	     0.076	     0.233
  0.454840	     0.183	     0.146	     0.052	     0.240
  0.458160	     0.160	     0.174	     0.054	     0.242
  0.461480	     0.151	     0.183	     0.038	     0.240
  0.464800	     0.187	     0.170	     0.062	     0.260
  0.468120	     0.180	     0.171	     0.077	     0.260
  0.471440	     0.187	     0.145	     0.051	     0.242
  0.474760	     0.176	     0.164	     0.047	     0.245
  0.478080	     0.192	     0.165	     0.062	     0.261
  0.481400	     0.170	     0.173	     0.065	     0.251
  0.484720	     0.175	     0.168	     0.052	     0.248
  0.488040	     0.180	     0.155	     0.045	     0.242
  0.491360	     0.192	     0.153	     0.055	     0.252
