All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:8:24
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.062	    -0.320	     0.067	     0.333
  0.006640	     0.058	    -0.301	     0.065	     0.313
  0.009960	     0.070	    -0.305	     0.088	     0.325
  0.013280	     0.082	    -0.288	     0.093	     0.314
  0.016600	     0.087	    -0.294	     0.088	     0.319
  0.019920	     0.072	    -0.317	     0.076	     0.334
  0.023240	     0.078	    -0.311	     0.074	     0.329
  0.026560	     0.102	    -0.312	     0.078	     0.337
  0.029880	     0.094	    -0.317	     0.053	     0.335
  0.033200	     0.091	    -0.314	     0.074	     0.335
  0.036520	     0.071	    -0.311	     0.056	     0.324
  0.039840	     0.054	    -0.294	     0.055	     0.304
  0.043160	     0.079	    -0.299	     0.049	     0.313
  0.046480	     0.088	    -0.294	     0.085	     0.318
  0.049800	     0.090	    -0.301	     0.085	     0.325
  0.053120	     0.072	    -0.311	     0.063	     0.325
  0.056440	     0.093	    -0.316	     0.071	     0.337
  0.059760	     0.094	    -0.297	     0.069	     0.319
  0.063080	     0.080	    -0.328	     0.047	     0.341
  0.066400	     0.068	    -0.273	     0.087	     0.294
  0.069720	     0.083	    -0.293	     0.053	     0.309
  0.073040	     0.053	    -0.286	     0.070	     0.299
  0.076360	     0.061	    -0.286	     0.068	     0.300
  0.079680	     0.092	    -0.306	     0.081	     0.330
  0.083000	     0.076	    -0.299	     0.094	     0.323
  0.086320	     0.082	    -0.310	     0.047	     0.324
  0.089640	     0.067	    -0.317	     0.086	     0.335
  0.092960	     0.075	    -0.294	     0.056	     0.309
  0.096280	     0.079	    -0.277	     0.075	     0.298
  0.099600	     0.096	    -0.322	     0.055	     0.340
  0.102920	     0.069	    -0.308	     0.077	     0.325
  0.106240	     0.073	    -0.280	     0.054	     0.294
  0.109560	     0.069	    -0.314	     0.076	     0.330
  0.112880	     0.091	    -0.292	     0.056	     0.311
  0.116200	     0.084	    -0.310	     0.034	     0.323
  0.119520	     0.081	    -0.292	     0.083	     0.314
  0.122840	     0.060	    -0.299	     0.077	     0.315
  0.126160	     0.080	    -0.284	     0.077	     0.305
  0.129480	     0.086	    -0.305	     0.064	     0.323
  0.132800	     0.100	    -0.311	     0.068	     0.334
  0.136120	     0.069	    -0.295	     0.087	     0.315
  0.139440	     0.087	    -0.311	     0.064	     0.329
  0.142760	     0.075	    -0.303	     0.073	     0.321
  0.146080	     0.069	    -0.297	     0.048	     0.309
  0.149400	     0.078	    -0.288	     0.071	     0.307
  0.152720	     0.067	    -0.301	     0.050	     0.312
  0.156040	     0.083	    -0.301	     0.086	     0.324
  0.159360	     0.076	    -0.294	     0.090	     0.317
  0.162680	     0.086	    -0.316	     0.067	     0.334
  0.166000	     0.070	    -0.320	     0.050	     0.331
  0.169320	     0.059	    -0.299	     0.071	     0.313
  0.172640	     0.066	    -0.288	     0.042	     0.298
  0.175960	     0.102	    -0.302	     0.065	     0.325
  0.179280	     0.094	    -0.308	     0.077	     0.331
  0.182600	     0.111	    -0.291	     0.064	     0.318
  0.185920	     0.072	    -0.319	     0.068	     0.334
  0.189240	     0.076	    -0.317	     0.105	     0.342
  0.192560	     0.072	    -0.275	     0.071	     0.293
  0.195880	     0.069	    -0.330	     0.055	     0.342
  0.199200	     0.092	    -0.306	     0.089	     0.332
  0.202520	     0.086	    -0.294	     0.049	     0.310
  0.205840	     0.090	    -0.292	     0.070	     0.313
  0.209160	     0.075	    -0.293	     0.060	     0.308
  0.212480	     0.092	    -0.304	     0.059	     0.323
  0.215800	     0.060	    -0.270	     0.095	     0.292
  0.219120	     0.055	    -0.298	     0.059	     0.309
  0.222440	     0.078	    -0.294	     0.056	     0.309
  0.225760	     0.090	    -0.300	     0.072	     0.321
  0.229080	     0.087	    -0.301	     0.082	     0.324
  0.232400	     0.092	    -0.275	     0.076	     0.300
  0.235720	     0.063	    -0.297	     0.071	     0.312
  0.239040	     0.069	    -0.297	     0.093	     0.319
  0.242360	     0.088	    -0.323	     0.093	     0.347
  0.245680	     0.099	    -0.298	     0.070	     0.322
  0.249000	     0.123	    -0.300	     0.063	     0.330
  0.252320	     0.093	    -0.318	     0.071	     0.339
  0.255640	     0.108	    -0.302	     0.072	     0.329
  0.258960	     0.099	    -0.309	     0.052	     0.329
  0.262280	     0.058	    -0.306	     0.095	     0.326
  0.265600	     0.070	    -0.277	     0.073	     0.295
  0.268920	     0.070	    -0.309	     0.054	     0.321
  0.272240	     0.080	    -0.314	     0.074	     0.332
  0.275560	     0.099	    -0.310	     0.093	     0.338
  0.278880	     0.065	    -0.297	     0.047	     0.308
  0.282200	     0.081	    -0.297	     0.071	     0.316
  0.285520	     0.094	    -0.286	     0.060	     0.307
  0.288840	     0.070	    -0.301	     0.069	     0.317
  0.292160	     0.086	    -0.316	     0.083	     0.338
  0.295480	     0.097	    -0.305	     0.085	     0.331
  0.298800	     0.065	    -0.297	     0.065	     0.311
  0.302120	     0.081	    -0.309	     0.085	     0.331
  0.305440	     0.070	    -0.309	     0.097	     0.331
  0.308760	     0.076	    -0.288	     0.062	     0.304
  0.312080	     0.075	    -0.296	     0.065	     0.312
  0.315400	     0.106	    -0.276	     0.069	     0.304
  0.318720	     0.059	    -0.314	     0.078	     0.329
  0.322040	     0.079	    -0.305	     0.077	     0.324
  0.325360	     0.068	    -0.291	     0.084	     0.310
  0.328680	     0.065	    -0.316	     0.102	     0.338
  0.332000	     0.057	    -0.297	     0.079	     0.313
  0.335320	     0.113	    -0.281	     0.058	     0.308
  0.338640	     0.073	    -0.305	     0.077	     0.323
  0.341960	     0.070	    -0.313	     0.054	     0.325
  0.345280	     0.062	    -0.329	     0.063	     0.341
  0.348600	     0.070	    -0.328	     0.084	     0.346
  0.351920	     0.072	    -0.298	     0.078	     0.316
  0.355240	     0.087	    -0.320	     0.105	     0.348
  0.358560	     0.072	    -0.320	     0.096	     0.342
  0.361880	     0.088	    -0.304	     0.095	     0.330
  0.365200	     0.067	    -0.311	     0.080	     0.328
  0.368520	     0.079	    -0.299	     0.101	     0.325
  0.371840	     0.074	    -0.285	     0.078	     0.305
  0.375160	     0.062	    -0.322	     0.092	     0.341
  0.378480	     0.091	    -0.292	     0.089	     0.319
  0.381800	     0.091	    -0.300	     0.052	     0.318
  0.385120	     0.102	    -0.284	     0.056	     0.307
  0.388440	     0.080	    -0.298	     0.073	     0.317
  0.391760	     0.062	    -0.289	     0.057	     0.301
  0.395080	     0.079	    -0.319	     0.087	     0.340
  0.398400	     0.087	    -0.302	     0.055	     0.319
  0.401720	     0.070	    -0.331	     0.073	     0.346
  0.405040	     0.084	    -0.303	     0.061	     0.320
  0.408360	     0.084	    -0.305	     0.074	     0.325
  0.411680	     0.091	    -0.321	     0.082	     0.344
  0.415000	     0.087	    -0.303	     0.064	     0.322
  0.418320	     0.088	    -0.278	     0.084	     0.303
  0.421640	     0.094	    -0.307	     0.081	     0.331
  0.424960	     0.073	    -0.277	     0.060	     0.293
  0.428280	     0.073	    -0.286	     0.061	     0.301
  0.431600	     0.098	    -0.318	     0.095	     0.346
  0.434920	     0.092	    -0.312	     0.072	     0.333
  0.438240	     0.085	    -0.301	     0.072	     0.321
  0.441560	     0.101	    -0.319	     0.089	     0.346
  0.444880	     0.064	    -0.308	     0.069	     0.322
  0.448200	     0.066	    -0.307	     0.086	     0.326
  0.451520	     0.061	    -0.306	     0.072	     0.320
  0.454840	     0.084	    -0.289	     0.050	     0.305
  0.458160	     0.059	    -0.309	     0.068	     0.322
  0.461480	     0.069	    -0.283	     0.067	     0.299
  0.464800	     0.067	    -0.288	     0.068	     0.303
  0.468120	     0.058	    -0.301	     0.058	     0.312
  0.471440	     0.071	    -0.298	     0.069	     0.314
  0.474760	     0.080	    -0.295	     0.078	     0.315
  0.478080	     0.073	    -0.309	     0.068	     0.325
  0.481400	     0.095	    -0.332	     0.102	     0.360
  0.484720	     0.053	    -0.288	     0.099	     0.309
  0.488040	     0.073	    -0.306	     0.083	     0.325
  0.491360	     0.069	    -0.312	     0.071	     0.327
  0.494680	     0.081	    -0.304	     0.104	     0.331
  0.498000	     0.079	    -0.315	     0.094	     0.338
  0.501320	     0.061	    -0.290	     0.054	     0.301
  0.504640	     0.060	    -0.303	     0.094	     0.323
  0.507960	     0.068	    -0.311	     0.089	     0.331
  0.511280	     0.079	    -0.310	     0.103	     0.336
  0.514600	     0.089	    -0.298	     0.084	     0.322
  0.517920	     0.048	    -0.332	     0.062	     0.341
  0.521240	     0.061	    -0.307	     0.088	     0.325
  0.524560	     0.089	    -0.294	     0.080	     0.317
  0.527880	     0.088	    -0.302	     0.059	     0.320
  0.531200	     0.075	    -0.314	     0.034	     0.325
  0.534520	     0.058	    -0.295	     0.096	     0.316
  0.537840	     0.077	    -0.284	     0.064	     0.301
