All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:35:3
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	    -0.033	     0.020	     0.050	     0.063
  0.006640	    -0.026	     0.028	     0.056	     0.068
  0.009960	    -0.046	     0.037	     0.058	     0.083
  0.013280	    -0.042	     0.039	     0.068	     0.089
  0.016600	    -0.065	     0.029	     0.073	     0.102
  0.019920	    -0.042	     0.048	     0.053	     0.083
  0.023240	    -0.029	     0.032	     0.061	     0.075
  0.026560	    -0.076	     0.057	     0.074	     0.120
  0.029880	    -0.056	     0.034	     0.054	     0.085
  0.033200	    -0.043	     0.034	     0.062	     0.083
  0.036520	    -0.049	     0.028	     0.058	     0.081
  0.039840	    -0.049	     0.035	     0.065	     0.089
  0.043160	    -0.058	     0.045	     0.080	     0.109
  0.046480	    -0.062	     0.006	     0.072	     0.095
  0.049800	    -0.077	     0.011	     0.044	     0.089
  0.053120	    -0.055	     0.048	     0.050	     0.088
  0.056440	    -0.040	     0.043	     0.080	     0.099
  0.059760	    -0.070	     0.034	     0.081	     0.112
  0.063080	    -0.097	     0.021	     0.083	     0.129
  0.066400	    -0.059	     0.011	     0.068	     0.091
  0.069720	    -0.041	     0.016	     0.071	     0.084
  0.073040	    -0.047	     0.052	     0.064	     0.095
  0.076360	    -0.070	     0.048	     0.082	     0.118
  0.079680	    -0.047	     0.027	     0.066	     0.085
  0.083000	    -0.077	     0.033	     0.069	     0.109
  0.086320	    -0.079	     0.028	     0.074	     0.112
  0.089640	    -0.071	     0.018	     0.115	     0.136
  0.092960	    -0.059	     0.035	     0.058	     0.090
  0.096280	    -0.042	     0.028	     0.061	     0.079
  0.099600	    -0.060	     0.046	     0.050	     0.091
  0.102920	    -0.043	     0.032	     0.108	     0.121
  0.106240	    -0.050	     0.023	     0.059	     0.081
  0.109560	    -0.069	     0.010	     0.045	     0.083
  0.112880	    -0.073	     0.037	     0.071	     0.108
  0.116200	    -0.065	     0.021	     0.035	     0.077
  0.119520	    -0.056	     0.027	     0.059	     0.086
  0.122840	    -0.062	     0.022	     0.057	     0.087
  0.126160	    -0.046	     0.032	     0.056	     0.079
  0.129480	    -0.053	     0.046	     0.053	     0.088
  0.132800	    -0.052	     0.022	     0.032	     0.065
  0.136120	    -0.054	     0.021	     0.037	     0.069
  0.139440	    -0.049	     0.020	     0.079	     0.095
  0.142760	    -0.069	     0.020	     0.056	     0.091
  0.146080	    -0.078	     0.013	     0.065	     0.102
  0.149400	    -0.078	     0.051	     0.039	     0.101
  0.152720	    -0.081	     0.022	     0.076	     0.113
  0.156040	    -0.073	     0.019	     0.055	     0.093
  0.159360	    -0.062	     0.029	     0.056	     0.088
  0.162680	    -0.085	     0.027	     0.042	     0.099
  0.166000	    -0.095	     0.023	     0.047	     0.108
  0.169320	    -0.046	     0.034	     0.054	     0.079
  0.172640	    -0.055	     0.030	     0.041	     0.075
  0.175960	    -0.032	     0.012	     0.076	     0.083
  0.179280	    -0.065	     0.027	     0.044	     0.083
  0.182600	    -0.065	     0.010	     0.087	     0.109
  0.185920	    -0.042	     0.043	     0.060	     0.085
  0.189240	    -0.065	     0.024	     0.051	     0.086
  0.192560	    -0.079	     0.019	     0.072	     0.109
  0.195880	    -0.041	    -0.003	     0.028	     0.050
  0.199200	    -0.065	     0.041	     0.075	     0.107
  0.202520	    -0.053	     0.027	     0.065	     0.088
  0.205840	    -0.091	     0.011	     0.040	     0.100
  0.209160	    -0.074	     0.029	     0.045	     0.091
