All   channel acquired
Date[dd-mm-yy]= 02-07-21   Time= 16:47:40
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  0.003320	     0.493	    -0.095	     0.074	     0.507
  0.006640	     0.483	    -0.075	     0.062	     0.493
  0.009960	     0.510	    -0.077	     0.056	     0.519
  0.013280	     0.473	    -0.056	     0.079	     0.483
  0.016600	     0.497	    -0.092	     0.049	     0.508
  0.019920	     0.500	    -0.088	     0.083	     0.514
  0.023240	     0.492	    -0.089	     0.078	     0.506
  0.026560	     0.495	    -0.068	     0.089	     0.508
  0.029880	     0.521	    -0.096	     0.071	     0.535
  0.033200	     0.488	    -0.057	     0.069	     0.496
  0.036520	     0.497	    -0.069	     0.067	     0.506
  0.039840	     0.487	    -0.054	     0.067	     0.495
  0.043160	     0.492	    -0.066	     0.058	     0.500
  0.046480	     0.498	    -0.063	     0.085	     0.509
  0.049800	     0.499	    -0.085	     0.073	     0.511
  0.053120	     0.480	    -0.090	     0.063	     0.492
  0.056440	     0.484	    -0.081	     0.044	     0.493
  0.059760	     0.475	    -0.081	     0.062	     0.486
  0.063080	     0.522	    -0.076	     0.069	     0.532
  0.066400	     0.498	    -0.085	     0.069	     0.510
  0.069720	     0.470	    -0.080	     0.071	     0.482
  0.073040	     0.496	    -0.074	     0.067	     0.506
  0.076360	     0.503	    -0.092	     0.093	     0.520
  0.079680	     0.497	    -0.080	     0.074	     0.509
  0.083000	     0.494	    -0.070	     0.067	     0.503
  0.086320	     0.480	    -0.063	     0.076	     0.490
  0.089640	     0.492	    -0.057	     0.067	     0.500
  0.092960	     0.506	    -0.093	     0.053	     0.517
  0.096280	     0.484	    -0.074	     0.065	     0.494
  0.099600	     0.482	    -0.083	     0.079	     0.495
  0.102920	     0.498	    -0.097	     0.062	     0.511
  0.106240	     0.499	    -0.083	     0.072	     0.511
  0.109560	     0.503	    -0.080	     0.061	     0.513
  0.112880	     0.497	    -0.104	     0.061	     0.511
  0.116200	     0.487	    -0.069	     0.078	     0.498
  0.119520	     0.477	    -0.103	     0.073	     0.493
  0.122840	     0.490	    -0.090	     0.072	     0.503
  0.126160	     0.496	    -0.091	     0.049	     0.507
  0.129480	     0.471	    -0.079	     0.065	     0.482
  0.132800	     0.502	    -0.083	     0.078	     0.515
  0.136120	     0.497	    -0.071	     0.056	     0.505
  0.139440	     0.521	    -0.060	     0.029	     0.525
  0.142760	     0.472	    -0.066	     0.057	     0.480
  0.146080	     0.498	    -0.074	     0.068	     0.508
  0.149400	     0.499	    -0.069	     0.075	     0.509
  0.152720	     0.494	    -0.097	     0.083	     0.510
  0.156040	     0.492	    -0.082	     0.066	     0.503
  0.159360	     0.493	    -0.089	     0.031	     0.502
  0.162680	     0.496	    -0.066	     0.061	     0.504
  0.166000	     0.499	    -0.068	     0.061	     0.507
  0.169320	     0.502	    -0.097	     0.043	     0.513
  0.172640	     0.508	    -0.057	     0.055	     0.514
  0.175960	     0.505	    -0.080	     0.079	     0.517
  0.179280	     0.505	    -0.090	     0.048	     0.515
